1 31 1995
37.6	37.6	7.5	141.4	52.3	83.1	74.8	.0	
29.1	22.1	16.8	266.6	108.3	46.2	35.4	.0	
22.3	12.5	14.9	224.3	107.8	62.5	.0	.0	
20.7	10.6	13.2	253.7	112.8	49.4	.0	.0	
13.6	3.4	16.8	233.1	153.0	8.1	.0	.0	
23.5	9.7	16.8	214.9	56.1	91.9	3.9	.0	
36.0	33.8	13.5	278.4	76.6	63.8	70.9	.0	
23.9	16.3	8.9	257.2	109.4	39.4	.0	.0	
22.0	12.2	11.5	270.8	141.8	18.8	.0	.0	
17.8	4.8	6.2	167.2	150.6	47.5	.0	.0	
10.8	8.0	9.7	41.4	56.3	100.0	.0	10.0	
24.8	26.1	8.1	109.0	56.9	100.0	3.9	20.0	
46.4	46.1	12.3	223.7	63.9	95.6	.0	.0	
52.0	53.4	13.7	204.3	74.6	96.2	7.9	.0	
55.9	55.8	17.7	186.1	58.6	96.9	19.7	.0	
55.1	54.7	11.5	180.2	65.6	96.9	15.7	.0	
48.2	45.8	9.0	207.8	59.9	100.0	.0	.0	
32.3	30.8	12.3	49.0	60.6	100.0	.0	.0	
31.9	32.2	6.0	49.0	61.3	100.0	.0	.0	
35.5	35.8	13.5	38.4	62.1	100.0	86.6	.0	
36.3	34.2	9.5	169.0	62.8	100.0	11.8	.0	
32.6	32.2	6.3	253.7	63.6	100.0	.0	.0	
29.2	24.5	11.0	283.1	67.4	83.8	.0	.0	
26.3	19.0	11.3	261.9	85.8	88.8	.0	.0	
26.0	18.6	13.7	294.9	79.6	65.6	.0	.0	
21.9	10.7	13.5	267.8	181.2	9.4	.0	.0	
20.0	5.1	15.1	277.8	190.2	8.1	.0	.0	
15.1	3.5	13.3	291.4	196.5	.0	.0	.0	
21.2	3.7	6.4	141.4	199.2	.0	.0	.0	
27.4	5.2	11.7	249.6	200.3	20.0	.0	.0	
28.1	19.2	12.1	237.2	159.0	39.4	.0	.0	
2 28 1995
34.0	24.7	13.6	230.8	97.2	93.8	.0	.0	
25.9	12.7	14.6	302.5	188.1	23.8	.0	.0	
16.2	2.2	5.2	133.1	213.4	16.2	.0	.0	
23.3	25.1	15.3	99.0	75.9	100.0	.0	250.0	
9.7	-1.6	27.3	258.4	211.7	17.5	.0	.0	
-.3	-11.0	25.9	258.4	144.5	48.8	.0	.0	
4.3	-3.3	15.6	228.4	208.6	17.5	.0	.0	
11.9	1.4	16.9	274.9	230.0	.0	.0	.0	
17.7	6.5	17.5	246.1	171.6	54.4	.0	.0	
24.8	15.2	12.2	220.8	144.4	86.2	.0	.0	
32.7	18.9	14.8	229.0	212.1	33.1	.0	.0	
10.7	-5.8	22.9	261.4	244.4	1.2	.0	.0	
13.2	1.2	10.9	235.5	223.2	24.4	.0	.0	
16.9	5.2	12.7	256.1	231.2	10.6	.0	.0	
