

  6     24     2010


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     23.71      8.74      0.00     21.65      9.64      2.06     -0.90
       -0.06     23.71      8.74     -1.00     21.60      9.67      2.11     -0.93
       -0.11     23.71      8.74     -2.00     21.36      9.69      2.35     -0.95
       -0.20     23.71      8.74     -3.00     21.20      9.71      1.96     -0.82
       -0.30     23.71      8.74     -4.00     21.01      9.69      1.18     -0.62
       -0.40     23.71      8.74     -5.00     20.45      9.52      0.61     -0.50
       -0.50     23.71      8.74     -6.00     19.97      9.32     -0.30     -0.46
       -0.62     23.71      8.74     -7.00     18.47      8.78     -0.28     -0.12
       -0.80     23.71      8.74     -8.00     16.58      8.17      0.18      0.28
       -1.01     23.71      8.74     -9.00     13.90      7.89      1.42      0.35
       -1.25     23.71      8.74    -10.00     12.43      7.71      1.94      0.30
       -1.56     23.71      8.74    -11.00     11.34      7.78      2.08     -0.00
       -2.00     23.71      8.74    -12.00     11.13      7.61      1.67     -0.07
       -2.50     23.71      8.74    -14.00     10.57      7.72      1.21     -0.65
       -3.00     23.16      8.89    -16.00      9.95      7.45      1.09     -0.67
       -3.50     22.69      9.02    -18.00      9.36      7.49      1.01     -0.96
       -4.12     22.06      9.07    -20.00      8.83      7.28      0.94     -0.97
       -5.25     20.78      9.00    -22.00      8.52      7.11      0.69     -0.91
       -7.00     18.19      8.66    -24.00      8.02      6.57      0.69     -0.48
       -9.00     15.32      8.24    -26.00      7.64      6.34      0.62     -0.37
      -11.25     13.18      7.72    -28.00      7.30      5.97      0.60     -0.10
      -14.00     11.78      7.06    -30.00      6.92      5.71      0.67      0.02
      -17.00     10.68      6.63    -32.00      6.56      5.24      0.78      0.30
      -20.00      9.77      6.31    -34.00      6.41      4.93      0.73      0.36
      -23.00      8.94      6.15    -36.00      6.24      4.30      0.72      0.70
      -26.25      8.21      5.96    -38.00      6.10      3.81      0.71      0.87
      -29.00      7.72      5.81    -40.00      5.99      3.31      0.69      1.00
      -31.00      7.45      5.64    -42.00      5.95      2.99      0.61      0.95
      -33.00      7.23      5.43    -44.00      6.43      3.45      0.03      0.13
      -35.00      7.04      5.16    -46.00      6.38      3.14     -0.01      0.03
      -37.00      6.87      4.84
      -39.00      6.74      4.50
      -41.00      6.62      4.13
      -43.00      6.51      3.77
      -45.00      6.41      3.39
      -47.00      6.34      2.95
      -49.00      6.29      2.48
