

 10      5     2009


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     15.92      7.48     -1.00     14.35      7.57      1.57     -0.08
       -0.06     15.92      7.48     -2.00     14.34      7.53      1.58     -0.05
       -0.11     15.92      7.48     -3.00     14.35      7.53      1.57     -0.05
       -0.20     15.92      7.48     -4.00     14.35      7.51      1.57     -0.03
       -0.30     15.92      7.48     -5.00     14.34      7.47      1.58      0.01
       -0.40     15.92      7.48     -6.00     14.35      7.44      1.57      0.04
       -0.50     15.92      7.48     -7.00     14.35      7.40      1.58      0.08
       -0.62     15.92      7.48     -8.00     14.35      7.34      1.58      0.14
       -0.80     15.92      7.48     -9.00     14.34      7.29      1.58      0.19
       -1.01     15.92      7.48    -10.00     14.33      7.25      1.59      0.23
       -1.25     15.92      7.48    -11.00     14.35      6.94      1.57      0.54
       -1.56     15.92      7.48    -12.00     14.32      7.19      1.60      0.29
       -2.00     15.92      7.48    -14.00     14.23      7.24      1.69      0.24
       -2.50     15.92      7.48    -16.00     13.77      6.16      1.38     -1.97
       -3.00     15.92      7.48    -18.00     12.08      2.77      2.13     -0.97
       -3.50     15.92      7.48    -20.00      9.91      0.29      3.16      0.03
       -4.12     15.92      7.48    -22.00      9.00      0.17      3.21     -0.05
       -5.25     15.92      7.48    -24.00      8.19      0.16      3.28     -0.14
       -7.00     15.92      7.48    -26.00      7.55      0.12      3.29     -0.12
       -9.00     15.92      7.48    -28.00      7.15      0.09      3.18     -0.09
      -11.25     15.92      7.48    -30.00      6.86      0.09      3.05     -0.09
      -14.00     15.92      7.48    -32.00      6.66      0.08      2.96     -0.08
      -17.00     14.77      2.54    -34.00      6.53      0.08      2.86     -0.08
      -20.00     13.07      0.32    -36.00      6.43      0.08      2.77     -0.07
      -23.00     11.78      0.02    -38.00      6.29      0.08      2.77     -0.07
      -26.25     10.75      0.00    -40.00      6.26      0.06      2.66     -0.06
      -29.00     10.09      0.00    -41.80      5.26      0.06      3.55     -0.06
      -31.00      9.74      0.00    -42.00      7.08      0.06      1.72     -0.06
      -33.00      9.49      0.00    -44.00      7.04      0.06      1.65     -0.06
      -35.00      9.29      0.00    -46.00      6.95      0.06      1.65     -0.06
      -37.00      9.13      0.00    -46.40      6.92      0.06      1.66     -0.06
      -39.00      8.99      0.00
      -41.00      8.86      0.00
      -43.00      8.74      0.00
      -45.00      8.64      0.00
      -47.00      8.55      0.00
      -49.00      8.50      0.00
