

 10      6     2008


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     13.43      8.64      0.00     15.34      9.55     -1.91     -0.90
       -0.06     13.43      8.64     -1.00     15.34      9.52     -1.90     -0.88
       -0.11     13.43      8.64     -2.00     15.33      9.51     -1.90     -0.86
       -0.20     13.43      8.64     -3.00     15.32      9.48     -1.89     -0.84
       -0.30     13.43      8.64     -4.00     15.31      9.47     -1.88     -0.82
       -0.40     13.43      8.64     -5.00     15.31      9.45     -1.88     -0.81
       -0.50     13.43      8.64     -6.00     15.31      9.43     -1.88     -0.79
       -0.62     13.43      8.64     -7.00     15.29      9.40     -1.86     -0.75
       -0.80     13.43      8.64     -8.00     15.28      9.38     -1.85     -0.73
       -1.01     13.43      8.64     -9.00     15.27      9.35     -1.84     -0.71
       -1.25     13.43      8.64    -10.00     15.27      9.31     -1.84     -0.67
       -1.56     13.43      8.64    -12.00     15.27      9.26     -1.83     -0.61
       -2.00     13.43      8.64    -14.00     15.16      9.13     -1.73     -0.49
       -2.50     13.43      8.64    -16.00     14.25      5.70     -0.82      2.94
       -3.00     13.43      8.64    -18.00     10.32      0.62      2.60      5.92
       -3.50     13.43      8.64    -20.00      8.76      0.87      3.15      1.45
       -4.12     13.43      8.64    -22.00      7.68      1.26      3.38     -0.01
       -5.25     13.43      8.64    -24.00      7.05      1.45      3.27     -0.84
       -7.00     13.43      8.64    -26.00      6.51      1.39      3.17     -1.02
       -9.00     13.43      8.64    -28.00      6.34      1.41      2.84     -1.12
      -11.25     13.43      8.64    -30.00      6.24      1.05      2.53     -0.83
      -14.00     13.43      8.64    -32.00      6.05      0.81      2.43     -0.66
      -17.00     13.43      8.64    -34.00      5.92      0.41      2.32     -0.32
      -20.00     11.91      2.32    -36.00      5.79      0.26      2.26     -0.22
      -23.00     10.63      0.73    -38.00      5.76      0.25      2.13     -0.24
      -26.25      9.60      0.34    -40.00      5.71      0.25      2.02     -0.24
      -29.00      8.95      0.26    -42.00      5.70      0.24      1.91     -0.24
      -31.00      8.60      0.19    -44.00      6.32      0.22      1.16     -0.22
      -33.00      8.34      0.13    -46.00      6.33      0.23      1.04     -0.23
      -35.00      8.14      0.07
      -37.00      7.96      0.02
      -39.00      7.80      0.00
      -41.00      7.66      0.00
      -43.00      7.54      0.00
      -45.00      7.42      0.00
      -47.00      7.32      0.00
      -49.00      7.26      0.00
