

  7     19     2010


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     26.04      8.50      0.00     23.90      7.60      2.14      0.90
       -0.06     26.04      8.50     -1.50     23.90      7.70      2.14      0.80
       -0.11     26.04      8.50     -3.00     23.00      7.70      3.04      0.80
       -0.20     26.04      8.50     -4.60     23.90      7.60      1.52      0.77
       -0.30     26.04      8.50     -6.10     23.60      7.20     -0.14      0.70
       -0.40     26.04      8.50     -7.60     22.00      6.10     -1.38      1.17
       -0.50     26.04      8.50     -9.10     18.50      4.90     -0.97      1.70
       -0.62     26.04      8.50    -10.70     13.90      4.50      1.50      1.51
       -0.80     26.04      8.50    -12.20     12.00      4.30      2.01      1.21
       -1.01     26.04      8.50
       -1.25     26.04      8.50
       -1.56     26.04      8.50
       -2.00     26.04      8.50
       -2.50     26.04      8.50
       -3.00     26.04      8.50
       -3.50     26.04      8.50
       -4.12     25.75      8.47
       -5.25     24.96      8.24
       -7.00     21.88      7.54
       -9.00     17.66      6.63
      -11.25     14.67      5.81
      -14.00     12.77      4.93
      -17.00     11.39      4.45
      -20.00     10.35      4.17
      -23.00      9.49      4.05
      -26.25      8.75      3.90
      -29.00      8.25      3.76
      -31.00      7.97      3.59
      -33.00      7.75      3.37
      -35.00      7.56      3.10
      -37.00      7.40      2.77
      -39.00      7.26      2.42
      -41.00      7.14      2.04
      -43.00      7.02      1.67
      -45.00      6.92      1.28
      -47.00      6.84      0.87
      -49.00      6.79      0.49
