

  7     14     2010


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     25.15      8.27     -0.60     23.30      8.60      1.85     -0.33
       -0.06     25.15      8.27     -4.27     23.30      8.50      1.85     -0.23
       -0.11     25.15      8.27
       -0.20     25.15      8.27
       -0.30     25.15      8.27
       -0.40     25.15      8.27
       -0.50     25.15      8.27
       -0.62     25.15      8.27
       -0.80     25.15      8.27
       -1.01     25.15      8.27
       -1.25     25.15      8.27
       -1.56     25.15      8.27
       -2.00     25.15      8.27
       -2.50     25.15      8.27
       -3.00     25.15      8.27
       -3.50     25.15      8.27
       -4.12     25.15      8.27
       -5.25     25.15      8.27
       -7.00     21.19      7.77
       -9.00     17.11      6.96
      -11.25     14.35      6.19
      -14.00     12.56      5.35
      -17.00     11.24      4.89
      -20.00     10.23      4.60
      -23.00      9.38      4.48
      -26.25      8.64      4.32
      -29.00      8.14      4.18
      -31.00      7.87      4.01
      -33.00      7.65      3.79
      -35.00      7.46      3.52
      -37.00      7.30      3.19
      -39.00      7.16      2.84
      -41.00      7.03      2.46
      -43.00      6.92      2.09
      -45.00      6.82      1.70
      -47.00      6.74      1.25
      -49.00      6.69      0.79
