

  6     15     2009


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     20.81      9.47     -0.60     18.40      9.90      2.41     -0.43
       -0.06     20.81      9.47     -4.30     16.40      9.90      1.62      0.17
       -0.11     20.81      9.47
       -0.20     20.81      9.47
       -0.30     20.81      9.47
       -0.40     20.81      9.47
       -0.50     20.81      9.47
       -0.62     20.81      9.47
       -0.80     20.81      9.47
       -1.01     20.81      9.47
       -1.25     20.81      9.47
       -1.56     20.81      9.47
       -2.00     20.81      9.47
       -2.50     20.81      9.47
       -3.00     20.81      9.47
       -3.50     19.16      9.82
       -4.12     18.19     10.07
       -5.25     17.12     10.06
       -7.00     16.20      9.68
       -9.00     15.30      9.20
      -11.25     13.98      8.64
      -14.00     12.44      7.92
      -17.00     10.90      7.55
      -20.00      9.65      7.35
      -23.00      8.72      7.31
      -26.25      8.07      7.22
      -29.00      7.69      7.13
      -31.00      7.48      6.99
      -33.00      7.30      6.80
      -35.00      7.14      6.54
      -37.00      7.01      6.24
      -39.00      6.90      5.90
      -41.00      6.81      5.54
      -43.00      6.71      5.18
      -45.00      6.63      4.80
      -47.00      6.56      4.37
      -49.00      6.52      3.90
