

  9     22     2010


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     16.93      8.45      0.00     15.84      8.74      1.10     -0.29
       -0.06     16.93      8.45     -1.00     15.85      8.72      1.08     -0.26
       -0.11     16.93      8.45     -2.00     15.85      8.72      1.08     -0.26
       -0.20     16.93      8.45     -3.00     15.86      8.70      1.07     -0.25
       -0.30     16.93      8.45     -4.00     15.86      8.68      1.07     -0.23
       -0.40     16.93      8.45     -5.00     15.86      8.66      1.07     -0.21
       -0.50     16.93      8.45     -6.00     15.86      8.65      1.07     -0.19
       -0.62     16.93      8.45     -7.00     15.86      8.64      1.07     -0.19
       -0.80     16.93      8.45     -8.00     15.86      8.62      1.07     -0.17
       -1.01     16.93      8.45     -9.00     15.86      8.60      1.07     -0.14
       -1.25     16.93      8.45    -10.00     15.85      8.56      1.08     -0.11
       -1.56     16.93      8.45    -12.00     15.83      8.49      0.78     -1.31
       -2.00     16.93      8.45    -14.00     15.64      7.84      0.10     -4.02
       -2.50     16.93      8.45    -16.00     13.19      1.97      1.22     -0.25
       -3.00     16.93      8.45    -18.00     10.35      0.57      2.88     -0.11
       -3.50     16.93      8.45    -20.00      9.33      0.64      2.89     -0.58
       -4.12     16.93      8.45    -22.00      8.70      0.61      2.76     -0.58
       -5.25     16.93      8.45    -24.00      8.01      0.50      2.79     -0.50
       -7.00     16.93      8.45    -26.00      7.68      0.22      2.55     -0.22
       -9.00     16.93      8.45    -28.00      7.45      0.14      2.34     -0.14
      -11.25     16.93      8.45    -30.00      7.14      0.10      2.27     -0.10
      -14.00     15.74      3.82    -32.00      6.91      0.09      2.24     -0.09
      -17.00     13.74      0.67    -34.00      6.70      0.08      2.23     -0.08
      -20.00     12.22      0.06    -36.00      6.53      0.07      2.23     -0.07
      -23.00     11.08      0.00    -38.00      6.39      0.07      2.21     -0.07
      -26.25     10.16      0.00    -40.00      6.34      0.06      2.14     -0.06
      -29.00      9.57      0.00    -42.00      6.28      0.06      2.08     -0.06
      -31.00      9.26      0.00    -44.00      6.76      0.06      1.49     -0.06
      -33.00      9.02      0.00    -46.00      6.73      0.06      1.42     -0.06
      -35.00      8.84      0.00
      -37.00      8.68      0.00
      -39.00      8.54      0.00
      -41.00      8.42      0.00
      -43.00      8.30      0.00
      -45.00      8.20      0.00
      -47.00      8.11      0.00
      -49.00      8.06      0.00
