

  9      1     2009


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     21.44      8.20      0.00     20.16      9.48      1.28     -1.29
       -0.06     21.44      8.20     -1.00     20.34      9.40      1.10     -1.20
       -0.11     21.44      8.20     -2.00     20.35      9.39      1.09     -1.19
       -0.20     21.44      8.20     -3.00     20.34      9.36      1.10     -1.16
       -0.30     21.44      8.20     -4.00     20.34      9.35      1.10     -1.15
       -0.40     21.44      8.20     -5.00     20.32      9.27      1.12     -1.07
       -0.50     21.44      8.20     -6.00     20.26      9.11      1.18     -0.91
       -0.62     21.44      8.20     -7.00     20.22      9.01      1.22     -0.81
       -0.80     21.44      8.20     -8.00     20.19      8.97      0.52     -1.95
       -1.01     21.44      8.20     -9.00     20.09      8.38     -0.13     -2.54
       -1.25     21.44      8.20    -10.00     19.27      5.99     -0.38     -1.32
       -1.56     21.44      8.20    -11.00     17.43      0.97      0.40      2.55
       -2.00     21.44      8.20    -12.00     16.56      0.37      0.41      2.40
       -2.50     21.44      8.20    -13.00     15.31      0.34      0.85      1.83
       -3.00     21.44      8.20    -14.00     14.10      0.19      1.27      1.37
       -3.50     21.44      8.20    -15.00     13.00      0.12      1.74      1.18
       -4.12     21.44      8.20    -16.00     12.32      0.11      1.80      0.93
       -5.25     21.44      8.20    -17.00     12.13      0.13      1.36      0.66
       -7.00     21.44      8.20    -18.00     10.45      0.93      2.56     -0.24
       -9.00     19.97      5.83    -19.00     11.24      0.18      1.28      0.41
      -11.25     17.56      3.23    -20.00      9.51      0.79      2.53     -0.30
      -14.00     15.37      1.56    -22.00      8.94      0.94      2.32     -0.47
      -17.00     13.49      0.79    -24.00      9.21      0.44      1.39      0.01
      -20.00     12.04      0.49    -25.00      6.90      1.08      3.41     -0.64
      -23.00     10.88      0.46    -26.00      6.40      1.16      3.63     -0.73
      -26.25      9.95      0.43    -27.00      8.75      0.66      1.04     -0.24
      -29.00      9.36      0.41    -28.00      7.22      0.76      2.36     -0.35
      -31.00      9.05      0.34    -29.00      5.83      0.54      3.53     -0.13
      -33.00      8.82      0.26    -30.00      8.14      0.69      1.07     -0.32
      -35.00      8.63      0.17    -32.00      5.55      0.11      3.38      0.19
      -37.00      8.47      0.09    -33.00      7.78      0.45      1.04     -0.19
      -39.00      8.34      0.03    -34.00      5.42      0.07      3.30      0.14
      -41.00      8.21      0.00    -35.00      7.50      0.15      1.13      0.02
      -43.00      8.10      0.00    -37.00      5.36      0.07      3.11      0.02
      -45.00      8.00      0.00    -38.00      7.23      0.08      1.17     -0.02
      -47.00      7.92      0.00    -40.00      6.22      0.06      2.06     -0.05
      -49.00      7.86      0.00    -41.00      5.29      0.06      2.92     -0.06
