

  6     19     2008


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     16.33     10.96      0.00     18.58     10.18     -2.25      0.78
       -0.06     16.33     10.96     -1.00     18.32     10.32     -1.99      0.64
       -0.11     16.33     10.96     -2.00     17.63     10.53     -1.69      0.52
       -0.20     16.33     10.96     -3.00     16.91     10.56     -1.30      0.53
       -0.30     16.33     10.96     -4.00     16.37     10.48     -1.33      0.66
       -0.40     16.33     10.96     -5.00     16.01     10.49     -1.58      0.64
       -0.50     16.33     10.96     -6.00     15.48     10.35     -1.51      0.71
       -0.62     16.33     10.96     -7.00     14.84     10.05     -1.27      0.92
       -0.80     16.33     10.96     -8.00     14.28      9.78     -0.91      1.09
       -1.01     16.33     10.96     -9.00     13.63      9.34     -0.45      1.43
       -1.25     16.33     10.96    -10.00     13.17      9.13     -0.17      1.55
       -1.56     16.08     11.01    -12.00     12.34      8.86      0.06      1.58
       -2.00     15.94     11.05    -14.00     10.90      8.74      0.49      1.38
       -2.50     15.78     11.07    -16.00      9.80      8.65      0.83      1.25
       -3.00     15.61     11.09    -18.00      8.67      8.74      1.22      0.96
       -3.50     15.43     11.11    -20.00      7.76      8.85      1.41      0.66
       -4.12     14.95     11.14    -22.00      6.80      9.01      1.42      0.31
       -5.25     14.28     11.13    -24.00      6.34      9.06      1.10      0.09
       -7.00     13.57     10.97    -26.00      6.22      9.05      0.57     -0.06
       -9.00     13.18     10.77    -28.00      5.97      8.83      0.43      0.04
      -11.25     12.77     10.56    -30.00      5.82      8.81      0.27     -0.06
      -14.00     11.38     10.12    -32.00      5.68      8.75      0.21     -0.16
      -17.00     10.25      9.80    -34.00      5.58      8.58      0.14     -0.18
      -20.00      9.16      9.51    -36.00      5.53      8.40      0.08     -0.22
      -23.00      7.76      9.23    -38.00      5.45      8.17      0.06     -0.25
      -26.25      6.71      8.96    -40.00      5.42      7.80      0.02     -0.17
      -29.00      6.21      8.82    -42.00      5.39      7.09     -0.01      0.27
      -31.00      5.97      8.68    -44.00      6.05      8.10     -0.73     -1.03
      -33.00      5.79      8.51    -46.00      6.03      7.94     -0.76     -1.19
      -35.00      5.65      8.30
      -37.00      5.55      8.05
      -39.00      5.47      7.78
      -41.00      5.41      7.49
      -43.00      5.35      7.22
      -45.00      5.29      6.93
      -47.00      5.25      6.58
      -49.00      5.22      6.17
