

  8     15     2006


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     21.18      9.62
       -0.06     21.18      9.62
       -0.11     21.18      9.62
       -0.28     21.18      9.62
       -0.60     21.18      9.62
       -1.03     21.18      9.62
       -1.50     21.18      9.62
       -2.00     21.18      9.62
       -2.50     21.18      9.62
       -3.12     21.18      9.62
       -4.00     21.18      9.62
       -5.00     21.18      9.62
       -6.00     21.18      9.62
       -7.00     21.18      9.62
       -8.00     18.22     10.44
       -9.00     15.47     10.69
      -10.25     13.13     10.36
      -12.00     11.01      9.60
      -14.00      9.54      8.83
      -16.00      8.65      8.17
      -18.00      8.09      7.61
      -20.00      7.71      7.11
      -22.00      7.45      6.66
      -24.00      7.25      6.19
      -26.00      7.07      5.66
      -28.00      6.92      5.04
      -30.00      6.80      4.33
      -32.00      6.70      3.54
      -34.00      6.63      2.70
      -36.25      6.57      1.83
      -38.25      6.54      1.14
