

 10     20     2010


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     14.24      8.50      0.00     13.12      8.93      1.12     -0.43
       -0.06     14.24      8.50     -1.00     13.11      8.91      1.13     -0.42
       -0.11     14.24      8.50     -2.00     13.10      8.77      1.14     -0.27
       -0.20     14.24      8.50     -2.10     13.12      8.98      1.12     -0.48
       -0.30     14.24      8.50     -3.00     13.09      8.75      1.15     -0.25
       -0.40     14.24      8.50     -4.00     13.07      8.73      1.17     -0.23
       -0.50     14.24      8.50     -5.00     13.06      8.70      1.18     -0.20
       -0.62     14.24      8.50     -6.00     13.03      8.69      1.21     -0.19
       -0.80     14.24      8.50     -7.00     13.02      8.63      1.22     -0.13
       -1.01     14.24      8.50     -8.00     13.02      8.62      1.22     -0.12
       -1.25     14.24      8.50     -9.00     13.00      8.59      1.24     -0.09
       -1.56     14.24      8.50    -10.00     13.00      8.59      1.24     -0.09
       -2.00     14.24      8.50    -12.10     12.99      8.50      1.25     -0.00
       -2.50     14.24      8.50    -14.00     12.83      8.08      1.41      0.42
       -3.00     14.24      8.50    -16.00     12.65      7.64      1.59      0.86
       -3.50     14.24      8.50    -18.00     12.47      6.86      1.41     -0.28
       -4.12     14.24      8.50    -20.00     10.47      2.37      2.70      0.38
       -5.25     14.24      8.50    -22.00      8.18      0.46      4.13      0.78
       -7.00     14.24      8.50    -24.00      7.64      0.24      3.92      0.12
       -9.00     14.24      8.50    -26.00      7.10      0.16      3.81     -0.08
      -11.25     14.24      8.50    -28.00      6.61      0.13      3.80     -0.11
      -14.00     14.24      8.50    -30.00      6.28      0.11      3.71     -0.11
      -17.00     14.24      8.50    -32.00      6.10      0.09      3.59     -0.09
      -20.00     13.17      2.75    -34.00      6.05      0.08      3.42     -0.08
      -23.00     11.88      0.49    -36.00      5.96      0.08      3.33     -0.08
      -26.25     10.83      0.05    -38.00      5.89      0.07      3.25     -0.07
      -29.00     10.17      0.00    -39.30      5.84      0.07      3.21     -0.07
      -31.00      9.82      0.00
      -33.00      9.56      0.00
      -35.00      9.37      0.00
      -37.00      9.21      0.00
      -39.00      9.07      0.00
      -41.00      8.94      0.00
      -43.00      8.83      0.00
      -45.00      8.72      0.00
      -47.00      8.63      0.00
      -49.00      8.58      0.00
