

  8     12     2009


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     25.30      8.44     -1.00     23.29     10.27      2.01     -1.83
       -0.06     25.30      8.44     -2.00     23.05     10.30      2.25     -1.86
       -0.11     25.30      8.44     -3.00     22.70     10.44      2.60     -2.00
       -0.20     25.30      8.44     -4.00     22.33     10.56      1.75     -2.04
       -0.30     25.30      8.44     -5.00     21.75     10.18      1.27     -1.84
       -0.40     25.30      8.44     -6.00     21.16      9.40      1.05     -1.51
       -0.50     25.30      8.44     -7.00     20.65      8.41      0.76     -1.06
       -0.62     25.30      8.44     -8.00     19.83      6.63      0.51      0.01
       -0.80     25.30      8.44     -9.00     18.87      4.79      0.42      1.14
       -1.01     25.30      8.44    -10.00     16.56      2.50      1.64      2.78
       -1.25     25.30      8.44    -12.00     14.45      1.53      1.80      2.57
       -1.56     25.30      8.44    -14.00     13.27      1.34      1.39      1.82
       -2.00     25.30      8.44    -16.00     12.24      1.42      1.19      1.32
       -2.50     25.30      8.44    -18.00     10.65      1.99      1.70      0.44
       -3.00     25.30      8.44    -20.00      9.52      2.24      1.91     -0.01
       -3.50     25.30      8.44    -22.00      8.79      2.18      1.92      0.04
       -4.12     23.78      8.53    -24.00      8.13      2.15      1.95      0.04
       -5.25     22.80      8.29    -26.00      7.55      2.17      2.00     -0.02
       -7.00     21.41      7.35    -28.00      7.11      2.05      2.02      0.04
       -9.00     19.29      5.93    -30.00      6.87      1.74      1.92      0.26
      -11.25     16.84      4.46    -32.00      6.70      1.40      1.84      0.43
      -14.00     14.66      3.16    -34.00      6.51      0.85      1.82      0.76
      -17.00     12.82      2.52    -36.00      6.36      0.36      1.80      0.98
      -20.00     11.43      2.23    -38.00      6.28      0.22      1.74      0.82
      -23.00     10.35      2.21    -40.00      6.18      0.10      1.71      0.63
      -26.25      9.48      2.14    -42.00      6.12      0.08      1.66      0.41
      -29.00      8.93      2.07    -43.30      5.20      0.07      2.51      0.28
      -31.00      8.65      1.92    -44.00      6.95      0.07      0.73      0.22
      -33.00      8.42      1.73    -46.00      6.90      0.07      0.69      0.08
      -35.00      8.24      1.49    -46.20      6.84      0.07      0.74      0.06
      -37.00      8.09      1.19
      -39.00      7.95      0.88
      -41.00      7.83      0.59
      -43.00      7.72      0.38
      -45.00      7.63      0.21
      -47.00      7.55      0.08
      -49.00      7.50      0.01
