

  7     20     2010


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     25.84      8.56      0.00     23.88      9.21      1.97     -0.65
       -0.06     25.84      8.56     -1.00     23.88      9.22      1.97     -0.66
       -0.11     25.84      8.56     -2.00     23.87      9.20      1.97     -0.64
       -0.20     25.84      8.56     -3.00     23.85      9.19      1.99     -0.64
       -0.30     25.84      8.56     -4.00     23.85      9.18      1.99     -0.62
       -0.40     25.84      8.56     -5.00     23.83      9.14      1.31     -0.80
       -0.50     25.84      8.56     -6.00     23.64      8.73     -0.00     -0.80
       -0.62     25.84      8.56     -7.00     23.01      7.76     -1.11     -0.29
       -0.80     25.84      8.56     -8.00     21.33      6.50     -1.50      0.51
       -1.01     25.84      8.56     -9.00     18.20      5.34     -0.44      1.22
       -1.25     25.84      8.56    -10.00     15.15      5.06      1.27      1.13
       -1.56     25.84      8.56    -12.00     12.10      4.89      2.11      0.60
       -2.00     25.84      8.56    -14.00     11.20      5.32      1.61     -0.49
       -2.50     25.84      8.56    -16.00     10.51      5.64      1.38     -1.11
       -3.00     25.84      8.56    -18.00      9.66      5.55      1.41     -1.28
       -3.50     25.84      8.56    -20.00      8.96      4.97      1.42     -0.89
       -4.12     25.84      8.56    -22.00      8.53      4.86      1.27     -0.86
       -5.25     24.94      8.27    -24.00      8.04      4.54      1.24     -0.62
       -7.00     21.90      7.47    -26.00      7.61      4.15      1.21     -0.33
       -9.00     17.76      6.55    -28.00      7.18      3.66      1.27      0.06
      -11.25     14.73      5.74    -30.00      6.83      3.08      1.30      0.51
      -14.00     12.81      4.84    -32.00      6.63      2.44      1.25      0.95
      -17.00     11.42      4.37    -34.00      6.46      1.89      1.22      1.26
      -20.00     10.38      4.08    -36.00      6.32      1.56      1.18      1.29
      -23.00      9.51      3.97    -38.00      6.18      0.92      1.17      1.60
      -26.25      8.77      3.81    -40.00      6.14      0.65      1.07      1.49
      -29.00      8.27      3.67    -42.00      6.11      0.52      1.00      1.24
      -31.00      7.99      3.50    -44.00      6.57      0.50      0.42      0.89
      -33.00      7.77      3.29    -46.00      6.52      0.10      0.38      0.90
      -35.00      7.58      3.02
      -37.00      7.42      2.69
      -39.00      7.28      2.34
      -41.00      7.16      1.95
      -43.00      7.04      1.58
      -45.00      6.94      1.20
      -47.00      6.86      0.80
      -49.00      6.81      0.43
