

  8     17     2009


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     24.42      8.07     -0.60     22.00      8.50      2.42     -0.43
       -0.06     24.42      8.07     -4.30     21.80      8.60      2.62     -0.53
       -0.11     24.42      8.07
       -0.20     24.42      8.07
       -0.30     24.42      8.07
       -0.40     24.42      8.07
       -0.50     24.42      8.07
       -0.62     24.42      8.07
       -0.80     24.42      8.07
       -1.01     24.42      8.07
       -1.25     24.42      8.07
       -1.56     24.42      8.07
       -2.00     24.42      8.07
       -2.50     24.42      8.07
       -3.00     24.42      8.07
       -3.50     24.42      8.07
       -4.12     24.42      8.07
       -5.25     24.42      8.07
       -7.00     21.66      6.98
       -9.00     19.40      5.51
      -11.25     17.01      4.08
      -14.00     14.84      2.75
      -17.00     12.99      2.09
      -20.00     11.59      1.78
      -23.00     10.48      1.75
      -26.25      9.60      1.69
      -29.00      9.04      1.62
      -31.00      8.75      1.48
      -33.00      8.52      1.29
      -35.00      8.34      1.06
      -37.00      8.18      0.79
      -39.00      8.05      0.55
      -41.00      7.93      0.33
      -43.00      7.82      0.18
      -45.00      7.72      0.08
      -47.00      7.64      0.02
      -49.00      7.59      0.00
