

  7      9     2009


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     22.35      8.81     -0.20     22.46      9.01     -0.11     -0.20
       -0.06     22.35      8.81     -0.30     21.64      9.09      0.71     -0.28
       -0.11     22.35      8.81     -1.00     22.05      9.04      0.30     -0.23
       -0.20     22.35      8.81     -2.00     22.06      9.03      0.29     -0.22
       -0.30     22.35      8.81     -3.00     21.98      9.03      0.38     -0.22
       -0.40     22.35      8.81     -4.00     21.86      9.02      0.49     -0.20
       -0.50     22.35      8.81     -5.00     21.60      8.86     -0.36      0.08
       -0.62     22.35      8.81     -6.00     19.77      8.26      0.57      0.54
       -0.80     22.35      8.81     -7.00     19.15      8.20      0.41      0.35
       -1.01     22.35      8.81     -8.00     17.29      7.72      1.51      0.49
       -1.25     22.35      8.81     -9.00     16.24      7.28      1.79      0.60
       -1.56     22.35      8.81    -10.00     14.38      6.57      2.58      0.91
       -2.00     22.35      8.81    -11.00     13.16      5.65      2.71      1.44
       -2.50     22.35      8.81    -12.00     13.02      5.78      1.95      0.93
       -3.00     22.35      8.81    -14.00     12.53      5.53      0.75      0.45
       -3.50     22.35      8.81    -16.00     11.94      5.32      0.23      0.34
       -4.12     22.35      8.81    -18.00     10.60      5.01      0.61      0.41
       -5.25     20.93      8.97    -20.00      9.47      4.96      0.92      0.31
       -7.00     19.56      8.55    -22.00      8.65      4.75      1.10      0.50
       -9.00     18.03      7.88    -24.00      8.02      4.63      1.19      0.59
      -11.25     15.60      6.99    -26.00      7.43      4.26      1.31      0.90
      -14.00     13.29      5.98    -28.00      7.09      4.35      1.28      0.76
      -17.00     11.60      5.50    -30.00      6.79      4.17      1.29      0.84
      -20.00     10.39      5.27    -32.00      6.62      3.85      1.24      1.00
      -23.00      9.44      5.24    -34.00      6.39      3.15      1.28      1.47
      -26.25      8.68      5.16    -36.00      6.20      2.47      1.30      1.87
      -29.00      8.21      5.08    -38.00      6.11      1.89      1.26      2.12
      -31.00      7.96      4.94    -40.00      6.05      1.48      1.22      2.18
      -33.00      7.75      4.75    -42.00      5.99      1.16      1.16      2.12
      -35.00      7.58      4.50    -44.00      6.83      1.45      0.23      1.45
      -37.00      7.44      4.18    -46.00      6.78      1.15      0.20      1.33
      -39.00      7.31      3.84    -46.50      6.70      1.08      0.27      1.29
      -41.00      7.21      3.46
      -43.00      7.11      3.10
      -45.00      7.02      2.71
      -47.00      6.95      2.26
      -49.00      6.91      1.77
