

  9     23     2008


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     16.24      8.92      0.00     18.03      9.21     -1.79     -0.29
       -0.06     16.24      8.92     -1.00     18.01      9.17     -1.78     -0.25
       -0.11     16.24      8.92     -2.00     17.98      9.15     -1.74     -0.23
       -0.20     16.24      8.92     -3.00     17.95      9.12     -1.72     -0.20
       -0.30     16.24      8.92     -4.00     17.93      9.09     -1.69     -0.17
       -0.40     16.24      8.92     -5.00     17.92      9.06     -1.68     -0.13
       -0.50     16.24      8.92     -6.00     17.91      9.00     -1.67     -0.08
       -0.62     16.24      8.92     -7.00     17.90      8.96     -1.66     -0.04
       -0.80     16.24      8.92     -8.00     17.89      8.94     -1.65     -0.01
       -1.01     16.24      8.92     -9.00     17.88      8.90     -1.64      0.02
       -1.25     16.24      8.92    -10.00     17.85      8.85     -1.61      0.08
       -1.56     16.24      8.92    -12.00     17.78      8.70     -1.91     -0.66
       -2.00     16.24      8.92    -14.00     17.01      7.16     -2.10     -1.45
       -2.50     16.24      8.92    -16.00     12.60      0.67      1.03      3.01
       -3.00     16.24      8.92    -18.00      9.96      0.78      2.53      1.51
       -3.50     16.24      8.92    -20.00      8.47      1.49      3.01      0.06
       -4.12     16.24      8.92    -22.00      7.76      1.71      2.90     -0.34
       -5.25     16.24      8.92    -24.00      7.28      1.90      2.69     -0.67
       -7.00     16.24      8.92    -26.00      6.68      2.21      2.68     -1.07
       -9.00     16.24      8.92    -28.00      6.38      2.29      2.51     -1.20
      -11.25     16.24      8.92    -30.00      6.18      1.77      2.32     -0.78
      -14.00     14.91      5.71    -32.00      6.05      1.60      2.15     -0.75
      -17.00     13.00      2.66    -34.00      5.93      1.33      2.04     -0.64
      -20.00     11.47      1.55    -36.00      5.79      0.45      1.98      0.06
      -23.00     10.27      1.28    -38.00      5.76      0.30      1.85      0.03
      -26.25      9.29      1.14    -40.00      5.70      0.26      1.76     -0.08
      -29.00      8.66      1.06    -42.00      5.66      0.25      1.66     -0.17
      -31.00      8.32      0.93    -43.00      4.96      0.26      2.30     -0.21
      -33.00      8.07      0.77    -44.00      6.35      0.25      0.85     -0.22
      -35.00      7.86      0.60    -46.00      6.32      0.24      0.78     -0.23
      -37.00      7.68      0.42
      -39.00      7.53      0.25
      -41.00      7.39      0.12
      -43.00      7.26      0.05
      -45.00      7.14      0.01
      -47.00      7.05      0.00
      -49.00      6.99      0.00
