

  8      7     2008


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     22.66      9.36      0.00     24.23      9.33     -1.57      0.03
       -0.06     22.66      9.36     -1.00     24.25      9.35     -1.59      0.01
       -0.11     22.66      9.36     -2.00     24.25      9.35     -1.59      0.01
       -0.20     22.66      9.36     -3.00     24.26      9.34     -1.60      0.03
       -0.30     22.66      9.36     -4.00     24.24      9.31     -1.57      0.05
       -0.40     22.66      9.36     -5.00     24.25      9.30     -1.58      0.06
       -0.50     22.66      9.36     -6.00     24.20      9.26     -2.35     -0.08
       -0.62     22.66      9.36     -7.00     22.97      7.70     -2.20      1.22
       -0.80     22.66      9.36     -8.00     20.15      5.41     -0.89      3.03
       -1.01     22.66      9.36     -9.00     18.26      4.07     -0.50      3.91
       -1.25     22.66      9.36    -10.00     16.11      3.52      0.47      4.05
       -1.56     22.66      9.36    -12.00     14.03      3.13      0.52      3.65
       -2.00     22.66      9.36    -14.00     12.69      3.30      0.33      2.79
       -2.50     22.66      9.36    -16.00     11.43      3.37      0.47      2.40
       -3.00     22.66      9.36    -18.00      9.72      3.80      1.21      1.73
       -3.50     22.66      9.36    -20.00      8.63      4.36      1.46      0.99
       -4.12     22.66      9.36    -22.00      7.76      4.75      1.64      0.55
       -5.25     22.66      9.36    -24.00      7.19      4.84      1.60      0.41
       -7.00     20.76      8.92    -26.00      6.68      4.86      1.57      0.31
       -9.00     17.76      7.98    -28.00      6.36      4.89      1.46      0.21
      -11.25     15.12      7.04    -30.00      6.13      4.70      1.32      0.29
      -14.00     13.02      6.09    -32.00      5.95      4.99      1.22     -0.17
      -17.00     11.35      5.61    -34.00      5.82      4.51      1.10      0.09
      -20.00     10.09      5.35    -36.00      5.71      3.65      1.02      0.67
      -23.00      9.06      5.28    -38.00      5.63      2.87      0.93      1.14
      -26.25      8.18      5.17    -40.00      5.61      2.46      0.81      1.21
      -29.00      7.60      5.06    -42.00      5.57      1.89      0.72      1.42
      -31.00      7.29      4.91    -42.50      4.88      1.09      1.38      2.14
      -33.00      7.04      4.72    -44.00      6.21      2.10     -0.04      0.86
      -35.00      6.82      4.47    -46.00      6.17      1.31     -0.09      1.25
      -37.00      6.64      4.17    -46.60      6.14      1.03     -0.09      1.40
      -39.00      6.49      3.85
      -41.00      6.35      3.49
      -43.00      6.23      3.14
      -45.00      6.12      2.77
      -47.00      6.03      2.35
      -49.00      5.98      1.89
