

  6     15     2006


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     18.22      9.77
       -0.06     18.22      9.77
       -0.11     18.22      9.77
       -0.28     18.22      9.77
       -0.60     18.22      9.77
       -1.03     18.22      9.77
       -1.50     18.22      9.77
       -2.00     18.22      9.77
       -2.50     18.22      9.77
       -3.12     18.22      9.77
       -4.00     18.22      9.77
       -5.00     18.22      9.77
       -6.00     15.88     11.11
       -7.00     13.08     12.21
       -8.00     11.16     12.55
       -9.00      9.92     12.52
      -10.25      8.90     12.31
      -12.00      8.02     11.91
      -14.00      7.45     11.48
      -16.00      7.13     11.14
      -18.00      6.92     10.85
      -20.00      6.76     10.56
      -22.00      6.62     10.29
      -24.00      6.51     10.02
      -26.00      6.42      9.72
      -28.00      6.33      9.32
      -30.00      6.26      8.82
      -32.00      6.20      8.20
      -34.00      6.14      7.51
      -36.25      6.09      6.76
      -38.25      6.07      6.13
