

  8     24     2010


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     23.08      8.38      0.00     23.09      8.50     -0.01     -0.12
       -0.06     23.08      8.38     -0.60     22.80      8.50      0.28     -0.12
       -0.11     23.08      8.38     -1.00     23.11      8.49     -0.03     -0.11
       -0.20     23.08      8.38     -2.00     23.11      8.49     -0.03     -0.11
       -0.30     23.08      8.38     -3.00     23.10      8.48     -0.02     -0.10
       -0.40     23.08      8.38     -4.00     23.08      8.47      0.01     -0.08
       -0.50     23.08      8.38     -4.27     22.80      8.40      0.28     -0.02
       -0.62     23.08      8.38     -5.00     23.01      8.45      0.07     -0.07
       -0.80     23.08      8.38     -6.00     22.68      8.18      0.40      0.21
       -1.01     23.08      8.38     -7.00     22.48      7.91      0.60      0.47
       -1.25     23.08      8.38     -8.00     22.02      7.57     -0.47     -0.56
       -1.56     23.08      8.38     -9.00     21.17      6.09     -1.13     -0.47
       -2.00     23.08      8.38    -10.00     19.22      3.77     -0.58      0.87
       -2.50     23.08      8.38    -12.00     14.12      0.83      2.08      2.17
       -3.00     23.08      8.38    -14.00     12.15      1.13      2.24      0.75
       -3.50     23.08      8.38    -16.00     11.02      1.49      2.17     -0.04
       -4.12     23.08      8.38    -18.00      9.73      2.12      2.45     -0.98
       -5.25     23.08      8.38    -20.00      9.16      2.55      2.18     -1.61
       -7.00     23.08      8.38    -22.00      8.48      2.52      2.19     -1.63
       -9.00     20.04      5.62    -24.00      8.23      2.32      1.86     -1.48
      -11.25     16.88      3.42    -26.00      7.86      1.88      1.72     -1.11
      -14.00     14.39      1.88    -28.00      7.43      1.50      1.74     -0.77
      -17.00     12.60      1.24    -30.00      7.07      1.15      1.77     -0.51
      -20.00     11.34      0.93    -32.00      6.82      0.73      1.76     -0.20
      -23.00     10.34      0.87    -34.00      6.62      0.54      1.75     -0.13
      -26.25      9.52      0.77    -36.00      6.43      0.17      1.76      0.09
      -29.00      8.98      0.70    -38.00      6.28      0.10      1.76      0.05
      -31.00      8.69      0.59    -40.00      6.26      0.07      1.66     -0.01
      -33.00      8.46      0.47    -42.00      6.20      0.07      1.59     -0.06
      -35.00      8.28      0.33    -44.00      6.70      0.07      0.99     -0.07
      -37.00      8.12      0.20    -46.00      6.67      0.07      0.93     -0.07
      -39.00      7.98      0.09
      -41.00      7.86      0.03
      -43.00      7.74      0.00
      -45.00      7.64      0.00
      -47.00      7.56      0.00
      -49.00      7.50      0.00
