

  7     24     2008


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     20.51      9.71      0.00     22.86      9.15     -2.36      0.57
       -0.06     20.51      9.71     -1.00     22.87      9.19     -2.36      0.52
       -0.11     20.51      9.71     -2.00     22.88      9.19     -2.37      0.53
       -0.20     20.51      9.71     -3.00     22.88      9.15     -2.37      0.56
       -0.30     20.51      9.71     -4.00     22.86      9.13     -2.36      0.58
       -0.40     20.51      9.71     -5.00     22.66      8.90     -2.15      0.81
       -0.50     20.51      9.71     -6.00     22.00      8.25     -2.13      1.29
       -0.62     20.51      9.71     -7.00     21.29      7.99     -2.28      1.32
       -0.80     20.51      9.71     -8.00     20.59      7.45     -2.56      1.54
       -1.01     20.51      9.71     -9.00     18.58      5.87     -1.53      2.80
       -1.25     20.51      9.71    -10.00     15.69      5.20      0.23      3.19
       -1.56     20.51      9.71    -12.00     13.36      5.03      0.56      2.80
       -2.00     20.51      9.71    -14.00     12.48      4.93     -0.09      2.32
       -2.50     20.51      9.71    -16.00     11.27      4.96      0.12      2.01
       -3.00     20.51      9.71    -18.00      9.64      5.14      0.87      1.59
       -3.50     20.51      9.71    -20.00      8.27      5.62      1.47      0.93
       -4.12     20.51      9.71    -22.00      7.45      5.82      1.62      0.67
       -5.25     20.51      9.71    -24.00      6.74      6.03      1.71      0.38
       -7.00     19.01      9.31    -26.00      6.31      6.14      1.60      0.18
       -9.00     17.05      8.67    -28.00      6.11      5.99      1.36      0.25
      -11.25     14.49      8.04    -30.00      5.95      5.95      1.16      0.17
      -14.00     12.38      7.26    -32.00      5.84      5.53      0.98      0.42
      -17.00     10.89      6.82    -34.00      5.76      5.34      0.84      0.40
      -20.00      9.74      6.55    -36.00      5.67      4.79      0.73      0.67
      -23.00      8.72      6.45    -38.00      5.62      4.30      0.61      0.86
      -26.25      7.84      6.31    -40.00      5.57      3.84      0.54      0.97
      -29.00      7.27      6.20    -42.00      5.55      3.50      0.44      0.97
      -31.00      6.96      6.05    -43.00      4.85      0.30      1.07      4.00
      -33.00      6.70      5.85    -44.00      6.19      3.89     -0.32      0.23
      -35.00      6.49      5.61    -46.00      6.16      3.03     -0.37      0.70
      -37.00      6.31      5.31    -47.00      6.12      2.56     -0.37      0.97
      -39.00      6.16      4.99
      -41.00      6.04      4.64
      -43.00      5.92      4.30
      -45.00      5.83      3.94
      -47.00      5.75      3.53
      -49.00      5.70      3.08
