

  6     11     2009


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     17.60      9.90      0.00     15.31     11.13      2.30     -1.23
       -0.06     17.60      9.90     -1.00     15.24     11.14      2.36     -1.24
       -0.11     17.60      9.90     -2.00     15.09     11.14      2.51     -1.24
       -0.20     17.60      9.90     -3.00     15.02     11.09      2.22     -1.13
       -0.30     17.60      9.90     -4.00     14.79     10.88      1.83     -0.92
       -0.40     17.60      9.90     -5.00     14.73     10.76      1.55     -0.88
       -0.50     17.60      9.90     -6.00     14.65     10.69      1.41     -0.93
       -0.62     17.60      9.90     -7.00     14.50     10.61      1.37     -0.96
       -0.80     17.60      9.90     -8.00     14.18     10.32      1.45     -0.80
       -1.01     17.60      9.90     -9.00     13.76      9.83      1.62     -0.43
       -1.25     17.60      9.90    -10.00     13.60      9.60      1.13     -0.40
       -1.56     17.60      9.90    -12.00     12.56      8.89      0.92     -0.14
       -2.00     17.60      9.90    -14.00     11.89      8.60      0.44     -0.36
       -2.50     17.37      9.94    -16.00     10.86      8.36      0.43     -0.35
       -3.00     17.24      9.96    -18.00      9.90      8.10      0.45     -0.27
       -3.50     16.92      9.97    -20.00      9.47      7.92      0.04     -0.23
       -4.12     16.54      9.95    -22.00      8.56      7.62      0.34      0.04
       -5.25     16.20      9.86    -24.00      7.88      7.43      0.52      0.19
       -7.00     15.87      9.65    -26.00      7.49      7.34      0.53      0.23
       -9.00     15.38      9.40    -28.00      7.11      7.24      0.63      0.26
      -11.25     13.92      8.94    -30.00      6.99      7.09      0.52      0.30
      -14.00     12.33      8.24    -32.00      6.80      6.86      0.52      0.36
      -17.00     10.78      7.89    -34.00      6.53      6.39      0.63      0.62
      -20.00      9.50      7.69    -36.00      6.30      5.95      0.71      0.77
      -23.00      8.59      7.64    -38.00      6.18      5.48      0.72      0.93
      -26.25      7.97      7.55    -40.00      6.03      4.32      0.77      1.73
      -29.00      7.61      7.46    -42.00      6.84      5.44     -0.14      0.26
      -31.00      7.40      7.33    -44.00      6.69      4.50     -0.08      0.84
      -33.00      7.23      7.13    -46.00      6.66      4.18     -0.13      0.76
      -35.00      7.08      6.88
      -37.00      6.95      6.57
      -39.00      6.84      6.24
      -41.00      6.74      5.88
      -43.00      6.65      5.53
      -45.00      6.57      5.15
      -47.00      6.50      4.72
      -49.00      6.46      4.26
