

  5     25     2010


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     22.02      9.35      0.00     15.20     10.62      6.81     -1.28
       -0.06     22.02      9.35     -1.00     15.17     10.65      6.85     -1.31
       -0.11     22.02      9.35     -2.00     15.15     10.67      6.87     -1.32
       -0.20     22.02      9.35     -3.00     13.97     10.67      6.89     -1.02
       -0.30     22.02      9.35     -4.00     15.10     10.68      2.15     -0.04
       -0.40     22.02      9.35     -5.00     14.94     10.70      0.15      0.32
       -0.50     22.02      9.35     -6.00     14.76     10.72     -0.76      0.28
       -0.62     22.02      9.35     -7.00     14.57     10.66     -1.39      0.19
       -0.80     22.02      9.35     -8.00     14.20     10.60     -1.41      0.04
       -1.01     22.02      9.35     -9.00     13.16     10.45     -0.76     -0.01
       -1.25     22.02      9.35    -10.00     11.64     10.61      0.53     -0.35
       -1.56     22.02      9.35    -12.00     10.01     10.48      1.70     -0.58
       -2.00     22.02      9.35    -14.00      9.53     10.24      1.73     -0.70
       -2.50     22.02      9.35    -16.00      9.32     10.16      1.22     -0.93
       -3.00     20.86      9.65    -18.00      9.12      9.85      0.67     -0.91
       -3.50     19.18     10.18    -20.00      9.02      9.77      0.02     -1.09
       -4.12     16.76     10.75    -22.00      8.81      9.46     -0.36     -0.92
       -5.25     14.61     11.10    -24.00      8.52      9.12     -0.58     -0.71
       -7.00     13.18     10.85    -26.00      8.06      8.69     -0.53     -0.38
       -9.00     12.40     10.44    -28.00      7.32      8.27     -0.12     -0.07
      -11.25     11.87     10.04    -30.00      6.87      7.91      0.05      0.17
      -14.00     11.26      9.55    -32.00      6.41      7.57      0.28      0.33
      -17.00     10.17      9.08    -34.00      6.18      7.34      0.30      0.32
      -20.00      9.04      8.68    -36.00      6.08      7.14      0.23      0.25
      -23.00      8.15      8.47    -38.00      5.97      6.79      0.20      0.29
      -26.25      7.48      8.29    -40.00      5.84      6.49      0.21      0.27
      -29.00      7.05      8.15    -42.00      5.76      6.13      0.19      0.28
      -31.00      6.80      8.00    -44.00      6.03      6.59     -0.17     -0.52
      -33.00      6.58      7.79    -46.00      5.98      6.33     -0.20     -0.64
      -35.00      6.39      7.54
      -37.00      6.23      7.24
      -39.00      6.11      6.92
      -41.00      6.00      6.58
      -43.00      5.90      6.25
      -45.00      5.81      5.89
      -47.00      5.75      5.49
      -49.00      5.72      5.04
