1 31 1997
62	57	-	-	-	0.01
62	59	-	-	-	0.00
70	63	-	-	-	0.00
63	49	-	-	-	0.00
47	34	-	-	-	0.00
34	28	-	-	-	0.04
35	20	-	-	-	0.00
32	31	-	-	-	0.27
42	32	-	-	-	0.00
32	22	-	-	-	0.00
24	11	-	-	-	0.00
20	15	-	-	-	0.00
22	15	-	-	-	0.00
27	21	-	-	-	0.00
44	31	-	-	-	0.02
30	16	-	-	-	0.00
28	8	-	-	-	0.00
36	25	-	-	-	0.00
46	35	-	-	-	0.00
54	50	-	-	-	0.00
64	58	-	-	-	0.00
59	40	-	-	-	0.00
54	48	-	-	-	0.00
53	42	-	-	-	0.00
46	32	-	-	-	0.00
58	50	-	-	-	0.00
47	40	-	-	-	0.00
28	11	-	-	-	0.00
34	13	-	-	-	0.00
45	20	-	-	-	0.00
58	33	-	-	-	0.00
