1 31 1997
64.2    63.0     0.9   144.0    75.9     0.0    26.0     0.0     0.0
60.9    60.5     2.8   202.0    46.4     0.0     2.0     0.0     0.0
64.9    63.5     5.8   202.0    46.9     0.0     4.0     0.0     0.0
68.2    65.6    10.1   188.0    48.7     0.0     5.0     0.0     0.0
68.0    59.0     1.7   264.0    62.7     0.0     9.0     0.0     0.0
58.6    43.3    12.1    28.0    46.6     0.0     1.0     0.0     0.0
45.9    43.0    15.5    23.0    45.8     0.0     0.0     0.1     0.0
52.9    47.8     6.4    74.0    46.0     0.0     0.0     0.0     0.0
45.0    39.1    11.1   287.0    49.3     0.0     5.0     0.0     0.0
45.7    33.2     8.5   248.0   132.7     0.0    93.0     0.0     0.0
35.5    16.4    11.6    11.0   176.9     0.0   100.0     0.0     0.0
38.4    20.1    12.2    21.0   173.1     0.0    75.0     0.0     0.0
39.9    20.2    14.6    19.0   119.6     0.0    54.0     0.0     0.0
42.7    21.7    11.3    28.0   133.6     0.0    69.0     0.0     0.0
54.4    41.3     5.0   126.0    70.4     0.0    40.0     0.0     0.0
43.7    31.5    16.9   336.0   147.0     0.0    76.0     0.0     0.0
32.3     8.2    12.8   355.0   166.8     0.0   100.0     0.0     0.0
34.4    14.3     5.3   317.0   165.2     0.0   100.0     0.0     0.0
40.5    31.1     5.4   245.0   163.6     0.0   100.0     0.0     0.0
45.7    34.8     1.2   225.0   141.7     0.0    97.0     0.0     0.0
51.1    44.4     4.1   123.0   125.4     0.0    78.0     0.0     0.0
60.3    57.3     7.6   190.0    65.3     0.0    36.0     0.0     0.0
61.0    59.5     4.1   177.0    70.6     0.0    16.0     0.0     0.0
62.5    60.3    10.0   194.0    81.0     0.0    12.0     0.0     0.0
59.7    42.5    10.1     4.0   132.6     0.0    74.0     0.0     0.0
52.2    37.1     8.6    93.0   130.7     0.0    90.0     0.0     0.0
59.2    55.8     8.4   129.0    47.4     0.0    19.0     0.0     0.0
52.7    50.9     6.5   355.0    59.1     0.0     3.0     0.0     0.0
41.8    36.8    10.2    11.0    75.9     0.0    16.0     0.0     0.0
47.0    43.5     4.6   345.0    74.1     0.0    35.0     0.0     0.0
47.8    42.9     4.1   214.0   155.1     0.0    54.0     0.0     0.0
