 GRID         1   ST         1        30        19         1         1          
   2.628137E+01   2.604158E+01   2.558339E+01   2.512738E+01   2.480768E+01     
   2.432249E+01   2.396744E+01   2.387347E+01   2.389890E+01   2.447443E+01     
   2.565636E+01   2.628726E+01   2.596043E+01   1.745522E+01   1.759485E+01     
   2.433089E+01   2.541473E+01   2.694226E+01   2.734554E+01   2.737967E+01     
   2.714273E+01   2.693262E+01   2.686951E+01   2.660660E+01   2.642151E+01     
   2.618018E+01   2.589024E+01   2.575134E+01   2.562022E+01   2.518861E+01     
   2.523300E+01   2.502748E+01   2.462672E+01   2.415598E+01   2.372670E+01     
   2.319905E+01   2.272169E+01   2.237068E+01   2.237332E+01   2.294539E+01     
   2.396909E+01   2.372188E+01   1.176289E+01   1.047750E+01   2.246237E+01     
   2.426999E+01   2.526390E+01   2.600360E+01   2.612169E+01   2.644708E+01     
   2.627925E+01   2.599971E+01   2.588794E+01   2.572542E+01   2.558177E+01     
   2.539519E+01   2.518315E+01   2.493459E+01   2.458469E+01   2.419421E+01     
   2.337436E+01   2.342282E+01   2.341290E+01   2.305138E+01   2.256728E+01     
   2.199031E+01   2.141170E+01   2.112523E+01   2.135529E+01   2.173354E+01     
   2.205003E+01   9.956313E+00   4.647732E+00   5.240213E+00   1.105337E+01     
   2.259949E+01   2.323465E+01   2.299530E+01   2.269687E+01   2.484320E+01     
   2.473271E+01   2.447218E+01   2.444142E+01   2.446304E+01   2.441408E+01     
   2.426607E+01   2.397104E+01   2.367551E+01   2.352356E+01   2.344200E+01     
   2.108009E+01   2.133693E+01   2.138063E+01   2.110985E+01   2.081819E+01     
   2.041388E+01   1.983099E+01   1.959695E+01   1.991548E+01   1.125142E+01     
   8.855137E+00   4.248289E+00   2.027737E+00   3.973400E+00   8.208218E+00     
   9.841407E+00   8.862765E+00   9.112757E+00   1.177275E+01   2.252051E+01     
   2.323346E+01   2.288669E+01   2.294022E+01   2.286304E+01   2.270804E+01     
   2.275943E+01   2.263733E+01   2.249001E+01   2.245622E+01   2.242162E+01     
   1.837030E+01   1.882990E+01   1.881483E+01   1.866682E+01   1.874147E+01     
