state  station  Air12   Air01   Elevation
10	1	16.4	5.3	192
10	2	15.7	3.8	190
10	3	19.3	9.7	67
10	4	17.7	7.3	62
11	1	7.5	-2.4	2135
11	2	22.1	10.9	339
11	3	12.7	2.2	1531
11	4	19.8	9.9	779
12	1	15.5	1.9	141
12	2	16.2	3.5	81
13	1	10.6	7.6	69
13	2	18.7	8.4	150
13	3	19.4	8.6	588
13	4	16.6	13.1	32
13	5	16.8	6.8	100
13	6	15.2	6.8	8
13	7	17.3	13.6	9
13	8	13.1	8.8	5
13	9	14.5	11.2	72
14	1	9.7	-2.2	1634
14	2	5.3	-10.2	1881
14	3	5.4	-8.5	1985
14	4	11.1	-5.1	1475
14	5	11.6	-1.9	1439
15	1	10.8	-1.6	2
15	2	9.8	-4	55
16	1	12.1	-0.8	24
17	1	21	14.2	12
17	2	19.8	11.5	9
17	3	24.1	19.8	2
17	4	19	10.2	21
17	5	21.7	15	3
17	6	23.4	18.6	6
18	1	15.9	5.1	244
18	2	15.5	4.4	315
18	3	16.6	6.3	45
18	4	17.9	7.3	136
18	5	17.5	7.2	110
18	6	18.3	8.8	16
19	1	10.7	-1.4	874
19	2	8.1	-4.7	1365
20	1	9.6	-6.4	190
20	2	9.7	-7.5	181
20	3	9.9	-6.6	199
20	4	8.7	-8.1	221
20	5	11.3	-5	187
21	1	13	-1.5	118
21	2	9.7	-5.5	252
21	3	11	-4.2	246
21	4	9.7	-5.3	236
22	1	9.6	-8.2	294
22	2	8.9	-9.4	336
22	3	7.7	-10.6	265
23	1	12.3	-2.5	787
23	2	10	-3.4	1124
23	3	12.1	-4	270
23	4	13.2	-2.3	408
24	1	11.6	-2.5	271
24	2	12.4	-1	301
24	3	13.2	-0.6	149
25	1	19.2	9.5	23
25	2	19.3	9.7	3
25	3	19.9	10.7	3
25	4	18	6.8	79
26	1	4	-12	190
26	2	7.3	-6	19
27	1	12.6	-0.2	47
28	1	10.4	-1.8	5
28	2	8	-5.2	301
29	1	6.4	-7.6	210
29	2	9.1	-5.3	191
29	3	8.4	-6	233
29	4	8.6	-5.8	245
29	5	6	-8.7	329
29	6	8.4	-6.1	256
29	7	8.4	-5.3	191
29	8	4.3	-10.5	221
29	9	7.1	-6.9	192
30	1	5.3	-14.2	436
30	2	4.1	-13.4	380
