1 31 2010
42	35	-	-	-	0.03
34	15	-	-	-	0.00
31	6	-	-	-	0.00
30	9	-	-	-	0.00
29	7	-	-	-	0.00
32	8	-	-	-	0.00
34	22	-	-	-	0.03
28	16	-	-	-	0.00
26	10	-	-	-	0.00
29	11	-	-	-	0.00
31	11	-	-	-	0.00
37	19	-	-	-	0.00
37	21	-	-	-	0.00
39	25	-	-	-	0.00
47	32	-	-	-	0.00
54	51	-	-	-	1.26
53	52	-	-	-	0.04
53	42	-	-	-	0.00
51	41	-	-	-	0.00
51	46	-	-	-	0.32
59	55	-	-	-	1.19
53	47	-	-	-	0.00
46	43	-	-	-	0.00
58	55	-	-	-	1.37
51	37	-	-	-	0.00
45	26	-	-	-	0.00
43	25	-	-	-	0.00
48	30	-	-	-	0.00
47	38	-	-	-	0.41
43	43	-	-	-	0.70
37	27	-	-	-	0.00
