1 31 1998
38	19	-	-	-	0.00
46	36	-	-	-	0.00
56	48	-	-	-	0.00
60	53	-	-	-	0.00
62	62	-	-	-	0.11
66	65	-	-	-	0.18
67	66	-	-	-	0.73
60	56	-	-	-	0.00
50	39	-	-	-	0.00
45	37	-	-	-	0.00
50	38	-	-	-	0.00
50	44	-	-	-	0.00
58	55	-	-	-	0.00
54	53	-	-	-	0.04
46	45	-	-	-	0.48
42	39	-	-	-	0.16
49	36	-	-	-	0.00
46	34	-	-	-	0.00
46	45	-	-	-	0.44
42	32	-	-	-	0.00
48	39	-	-	-	0.00
52	50	-	-	-	0.41
56	54	-	-	-	0.00
46	36	-	-	-	0.00
42	29	-	-	-	0.00
46	36	-	-	-	0.35
47	43	-	-	-	0.13
52	36	-	-	-	0.00
48	38	-	-	-	0.00
50	33	-	-	-	0.00
44	31	-	-	-	0.00
