07 31 1970
0.0    68.5     0.9   279.0    11.0    98.00.00.0
0.0    71.7     3.8   299.0     6.0    64.00.00.0
0.0    75.1     3.5   262.0     6.0    52.00.00.0
0.0    74.7     5.6   235.0     5.0     3.00.00.0
0.0    67.3     0.7   105.0     6.0    39.00.00.0
0.0    67.7     5.0   112.0    11.0    44.00.00.0
0.0    69.6     4.2   214.0    10.0    55.00.00.0
0.0    71.5     5.4   260.0     5.0    45.00.00.0
0.0    70.8     6.2   287.0     8.0    41.0     0.10.0
0.0    68.0     6.2   261.0     8.0    22.00.00.0
0.0    68.9     4.8   232.0     5.0    19.0     0.10.0
0.0    68.6     2.9   165.0     5.0    11.00.00.0
0.0    69.3     5.2   147.0     6.0    27.00.00.0
0.0    73.1     4.9   127.0     5.00.00.00.0
0.0    73.5     1.5    95.0     6.0     8.00.00.0
0.0    71.2     4.9   292.0     6.0    19.00.00.0
0.0    72.7     4.5   267.0     6.0    25.00.00.0
0.0    71.8     3.4   260.0    10.0    64.00.00.0
0.0    74.5     6.8   228.0     6.0    69.00.00.0
0.0    74.8     7.2   200.0     5.0    45.00.00.0
0.0    74.6     3.1    91.0     5.0     6.00.00.0
0.0    74.2     3.6    33.0     5.0     8.00.00.0
0.0    74.5     4.4   113.0     5.0    31.00.00.0
0.0    74.7     6.0   107.0     5.0    20.00.00.0
0.0    74.4     7.9    99.0     5.0     9.00.00.0
0.0    73.0     2.9   119.0     6.0    56.00.00.0
0.0    72.1     3.1   302.0     9.0    58.00.00.0
0.0    74.3     4.4   121.0     6.0    30.00.00.0
0.0    73.2     2.0   205.0     8.0    37.00.00.0
0.0    74.2     0.3   189.0     7.0    58.00.00.0
