 DMAXX - Maximum temperature and DO difference within mixed layer
 DMINN - Minimum temperature and DO difference within mixed layer
 DIV_MAX - Maximum dividing constant (1/10th or 15th)
 DIV_MIN - Minimum dividing constant (1/10th or 15th)
 DMAXX,DMINN,DIVIDE_MAX,DIVIDE_MIN
   1.000000      0.4000000       10.00000       5.000000    
 DFMIX - Specified limit to check mixed layer depth
 DFDIFF - Diff Tem or Diff DO is (SIMulated - MEAsured) at each field depth
 TDOMIX - Mixed layer temperature or DO
 
 FLD- DFMIX  DFDIFF  TDOMIX  DEPTH 1-DO/2-Temp.  MaxDiff_InPrfle ---Observed
      0.40    0.10   12.06   1.00    1               0.85
      0.40    0.03   12.11   2.00    1               0.85
      0.40    0.04   12.12   3.00    1               0.85
      0.40    0.01   12.13   4.00    1               0.85
      0.40   -0.01   12.13   5.00    1               0.85
      0.40   -0.03   12.13   6.00    1               0.85
      0.40   -0.07   12.13   7.00    1               0.85
      0.40   -0.05   12.12   8.00    1               0.85
      0.40   -0.03   12.11   9.00    1               0.85
      0.40   -0.05   12.11  10.00    1               0.85
      0.40   -0.07   12.10  12.00    1               0.85
      0.40   -0.16   12.10  14.00    1               0.85
      0.40   -0.17   12.09  16.00    1               0.85
      0.40   -0.25   12.07  18.00    1               0.85
      0.40   -0.21   12.06  19.00    1               0.85
      0.40   -0.44   12.04  21.00    1               0.85
 
 FLD- DFMIX  DFDIFF  TDOMIX  DEPTH 1-DO/2-Temp.  MaxDiff_InPrfle ---Observed
      0.40   -0.02    8.96   1.00    2               1.72
      0.40   -0.02    8.95   2.00    2               1.72
      0.40   -0.01    8.94   3.00    2               1.72
      0.40   -0.04    8.94   4.00    2               1.72
      0.40   -0.03    8.93   5.00    2               1.72
      0.40   -0.13    8.93   6.00    2               1.72
      0.40   -0.15    8.91   7.00    2               1.72
      0.40   -0.12    8.89   8.00    2               1.72
      0.40   -0.09    8.88   9.00    2               1.72
      0.40   -0.10    8.87  10.00    2               1.72
      0.40   -0.12    8.86  12.00    2               1.72
      0.40   -0.29    8.85  14.00    2               1.72
      0.40   -0.27    8.83  16.00    2               1.72
      0.40   -0.41    8.81  18.00    2               1.72
 
 OBSERVED mixed layer depths :      TEMP   DO    AVG     Actual Model Depth

 OBSERVED mixed layer depths :     17.00  20.00  18.50       38.00
 
 SML- DFMIX  DFDIFF  STDOMIX  DEPTH 1-DO/2-Temp. MaxDiff_InPrfl --- Simulated
      0.40    0.00   10.69  0.06     1              0.72
      0.40    0.00   10.69  0.11     1              0.72
      0.40    0.00   10.69  0.20     1              0.72
      0.40    0.00   10.69  0.30     1              0.72
      0.40    0.00   10.69  0.40     1              0.72
      0.40    0.00   10.69  0.50     1              0.72
      0.40   -0.00   10.69  0.62     1              0.72
      0.40   -0.00   10.69  0.80     1              0.72
      0.40   -0.00   10.69  1.01     1              0.72
      0.40   -0.00   10.69  1.25     1              0.72
