 DO
 Error = (SIMulated - MEAsured) and |  | means absoluate error
 Month  Day  Year  JDay  No.Depth DepthEmax   Error_max  DepthEmin   Error_min  |Error|mean     Sim_SD
    5    20  2008   141    21       1.000      -1.470      24.200      -0.620       1.200        3.966
    5    21  2008   142    20       2.000      -1.232      24.000       0.007       0.709        3.960
    6    12  2008   164     2       0.600       1.251       4.270       1.151       1.201        4.010
    6    19  2008   171    29      12.000       1.579      28.000       0.040       0.666        4.031
    7    14  2008   196     2       0.600       0.078       4.270      -0.002       0.040        4.097
    7    24  2008   206    31      43.000       3.999      30.000       0.172       1.135        4.112
    8     7  2008   220    31      10.000       4.047       1.000       0.012       1.166        4.105
    9    23  2008   267    30      16.000       3.009       8.000      -0.015       0.488        4.007
   10     6  2008   280    29      18.000       5.921      22.000      -0.007       0.909        3.970
