  M  YR    DAY   TEMP     DEW      WIND   RAD      CC     RAIN    SNOW
   4 2007    1   7.931   7.931  16.743 122.201   1.277   0.839   0.000
   4 2007    2   7.376   7.314  13.372 122.201   1.277   0.000   0.023
   4 2007    3   4.653   4.653  12.444 311.660   0.802   0.000   0.023
   4 2007    4  -2.125  -4.553  18.257 311.660   0.816   0.000   0.259
   4 2007    5  -3.125 -10.354  15.815 417.757   0.259   0.000   0.000
   4 2007    6  -3.736 -12.246  15.462 419.651   0.289   0.000   0.000
   4 2007    7  -2.014  -8.579  16.279 306.923   0.869   0.000   0.000
   4 2007    8   0.431 -10.117   8.720 433.861   0.236   0.000   0.000
   4 2007    9   0.431  -7.869   3.724 437.650   0.247   0.000   0.000
   4 2007   10   2.987  -3.546  11.273 408.284   0.498   0.000   0.000
   4 2007   11   4.431   1.494  19.882 277.557   0.994   0.000   0.000
   4 2007   12   6.265  -1.056  11.980 437.650   0.368   0.000   0.000
   4 2007   13   8.765  -1.590   8.135 433.861   0.423   0.000   0.000
   4 2007   14  10.432   2.681   5.813 399.758   0.618   0.000   0.000
   4 2007   15  10.765   3.393   7.559 460.385   0.290   0.000   0.000
   4 2007   16  13.654   3.156   8.023 463.227   0.303   0.000   0.000
   4 2007   17  13.321   9.216  11.162 465.121   0.323   0.075   0.000
   4 2007   18  11.043   6.719  11.859 471.752   0.303   0.000   0.000
   4 2007   19  12.154   7.195  12.787 467.016   0.370   0.000   0.000
   4 2007   20  14.654   8.146  10.345 469.858   0.378   0.000   0.000
   4 2007   21  14.265  11.773   9.416 239.665   1.146   0.210   0.000
   4 2007   22  18.988  16.954   7.559 282.294   1.054   0.000   0.000
   4 2007   23  15.821  13.618  10.577 476.489   0.411   1.693   0.000
   4 2007   24  15.043   3.453   5.813 503.013   0.244   0.000   0.000
   4 2007   25  13.432   3.215   7.438 510.591   0.206   0.000   0.000
   4 2007   26  13.099   0.842   7.327 514.381   0.208   0.000   0.000
   4 2007   27  14.710   2.919   6.399 517.222   0.221   0.000   0.000
   4 2007   28  19.932   9.692   9.648 505.855   0.347   0.000   0.000
   4 2007   29  24.099   9.216  14.997 525.748   0.213   0.000   0.000
   4 2007   30  18.210   7.373   7.902 483.120   0.511   0.000   0.000
   5 2007    1  13.444   6.395  11.572 480.071   0.484   0.010   0.000
   5 2007    2  13.500   7.208  10.558 293.269   0.910   0.000   0.000
   5 2007    3  17.111   7.615  14.935 548.790   0.209   0.000   0.000
   5 2007    4  15.667   4.130  15.052 371.668   0.774   0.000   0.000
   5 2007    5  13.556   7.092  13.814 258.425   0.976   0.262   0.000
   5 2007    6  16.834   3.434  15.608 500.396   0.473   0.021   0.000
   5 2007    7  19.778  10.520  11.796 193.577   1.065   0.000   0.000
   5 2007    8  22.445  13.834   6.736 572.020   0.168   0.000   0.000
   5 2007    9  25.890  11.857   6.961 572.020   0.197   0.000   0.000
   5 2007   10  27.001  11.566   9.544 570.084   0.233   0.000   0.000
   5 2007   11  16.556   5.291  12.020 530.401   0.426   0.000   0.000
   5 2007   12  14.945   1.402   9.885 537.176   0.412   0.000   0.000
   5 2007   13  16.611   6.395  11.348 530.401   0.445   0.000   0.000
   5 2007   14  17.945  14.183  10.441 523.625   0.475   0.052   0.000
   5 2007   15  17.611  14.415  12.020 316.498   0.911   0.073   0.000
   5 2007   16  11.611   9.183   5.498 316.498   0.914   0.084   0.000
   5 2007   17  15.778   8.370   6.405 611.703   0.000   0.189   0.000
   5 2007   18  21.445   7.266  14.262 597.185   0.217   0.000   0.000
   5 2007   19  17.889  13.659  10.889 263.264   0.999   0.398   0.000
   5 2007   20   6.444   3.724  18.640 193.577   1.065   0.000   0.000
   5 2007   21  10.778   7.266  14.711 480.071   0.630   0.765   0.000
   5 2007   22  17.056  14.066  12.020 572.020   0.383   0.031   0.000
   5 2007   23  23.334  20.700  11.114 323.273   0.919   0.367   0.000
   5 2007   24  19.056  17.266   9.544 267.136   1.002   0.105   0.000
   5 2007   25  14.778   9.125  13.473 630.093   0.071   0.293   0.000
   5 2007   26  15.945  11.043   8.647 316.498   0.934   0.000   0.000
   5 2007   27  15.445  10.636  16.505 293.269   0.969   0.000   0.000
   5 2007   28  16.778  10.869   7.185 405.543   0.797   0.010   0.000
   5 2007   29  21.778  17.150   9.993 542.015   0.517   0.000   0.000
   5 2007   30  23.723  21.690   8.647 573.955   0.431   0.828   0.000
   5 2007   31  21.945  18.314   7.526 648.482   0.000   0.052   0.000
   6 2007    1  22.102  14.670   4.905 640.699   0.000   0.020   0.000
   6 2007    2  18.602  14.383   8.533 250.542   1.023   0.000   0.000
   6 2007    3  18.657  16.682   4.709 260.105   1.011   0.159   0.000
   6 2007    4  20.046  16.050   8.729 471.440   0.678   0.119   0.000
   6 2007    5  16.824   9.213   5.885 489.609   0.643   0.030   0.000
   6 2007    6  14.046   8.868   6.276 419.801   0.776   0.000   0.000
   6 2007    7  18.546  14.958  10.696 458.052   0.709   0.030   0.000
   6 2007    8  19.102  10.131  15.499 629.224   0.227   0.000   0.000
   6 2007    9  22.046   9.787  11.378 586.192   0.410   0.000   0.000
   6 2007   10  23.547  14.498   4.709 660.780   0.000   0.000   0.000
   6 2007   11  20.435  14.843   7.656 626.355   0.259   0.000   0.000
   6 2007   12  23.380  17.487   7.358 655.999   0.000   0.000   0.000
   6 2007   13  25.769  18.005   6.864 660.780   0.000   0.000   0.000
   6 2007   14  24.213  17.602   6.574 665.562   0.000   0.000   0.000
   6 2007   15  24.713  19.097   8.337 469.527   0.698   0.010   0.000
   6 2007   16  25.102  18.982   5.101 663.649   0.000   0.624   0.000
   6 2007   17  21.269  16.740   7.060 350.950   0.894   0.159   0.000
   6 2007   18  20.546  18.234   8.831 458.052   0.720   0.922   0.000
   6 2007   19  20.380  11.051  17.662 492.477   0.656   0.000   0.000
   6 2007   20  23.046  12.832  10.500 678.950   0.000   0.000   0.000
   6 2007   21  22.046  10.878   4.905 667.474   0.000   0.000   0.000
   6 2007   22  19.713  12.085   7.750 688.512   0.000   0.000   0.000
   6 2007   23  21.269  16.855   6.574 503.953   0.634   0.000   0.000
   6 2007   24  27.658  21.858   9.317 677.037   0.000   0.000   0.000
   6 2007   25  26.713  20.822   8.533 578.542   0.453   0.000   0.000
   6 2007   26  26.602  22.721   7.852 565.154   0.490   0.000   0.000
   6 2007   27  21.713  13.636  10.109 449.445   0.736   0.198   0.000
   6 2007   28  17.213  11.797   7.060 474.308   0.690   0.010   0.000
   6 2007   29  20.046  11.108   4.411 697.119   0.000   0.000   0.000
   6 2007   30  19.991  11.395   8.831 677.037   0.000   0.000   0.000
   7 2007    1  17.321   8.495   9.083 559.047   0.509   0.000   0.000
   7 2007    2  15.877  11.855   8.343 341.000   0.913   0.428   0.000
   7 2007    3  20.544  18.236   2.035 643.577   0.178   0.000   0.000
   7 2007    4  25.766  18.293   6.026 643.577   0.171   0.000   0.000
   7 2007    5  24.044  15.273   7.691 592.667   0.402   0.009   0.000
   7 2007    6  24.877  14.874   6.299 670.473   0.000   0.035   0.000
   7 2007    7  26.989  16.983   7.048 688.723   0.000   0.000   0.000
   7 2007    8  29.544  21.714   8.343 590.746   0.398   0.000   0.000
   7 2007    9  24.600  13.849   5.656 668.552   0.000   0.000   0.000
   7 2007   10  21.044  14.191  11.682 451.464   0.725   0.052   0.000
   7 2007   11  17.766  12.083  10.845 464.912   0.697   0.149   0.000
   7 2007   12  17.599  11.741  10.934 473.557   0.678   0.114   0.000
   7 2007   13  17.377  11.058   6.114 539.836   0.527   0.017   0.000
   7 2007   14  20.710  14.191  10.749 590.746   0.369   0.035   0.000
   7 2007   15  20.710  13.336   5.004 610.918   0.277   0.000   0.000
   7 2007   16  21.322  13.108   3.154 698.329   0.000   0.000   0.000
   7 2007   17  23.044  13.963   3.709 688.723   0.000   0.000   0.000
   7 2007   18  25.322  14.589   3.427 636.853   0.000   0.000   0.000
   7 2007   19  21.933  13.165   7.418 698.329   0.000   0.000   0.000
   7 2007   20  18.710  10.374   3.982 684.881   0.000   0.000   0.000
   7 2007   21  21.044  12.197   5.841 688.723   0.000   0.000   0.000
   7 2007   22  19.988  15.843   6.855 258.391   1.008   0.428   0.000
   7 2007   23  25.989  21.828   4.634 551.363   0.444   0.000   0.000
   7 2007   24  29.211  23.994   5.374 608.997   0.173   0.000   0.000
   7 2007   25  28.711  23.310   5.004 655.104   0.000   0.000   0.000
   7 2007   26  27.378  23.481   4.264 460.109   0.660   0.000   0.000
   7 2007   27  26.100  19.034   6.026 650.301   0.000   0.376   0.000
   7 2007   28  26.100  17.097   4.264 636.853   0.000   0.000   0.000
   7 2007   29  25.878  17.951   6.581 647.419   0.000   0.000   0.000
   7 2007   30  28.100  17.723   7.233 668.552   0.000   0.000   0.000
   7 2007   31  28.878  20.174   7.048 668.552   0.000   0.000   0.000
   8 2007    1  30.188  21.661  10.359 584.319   0.255   0.000   0.000
   8 2007    2  26.799  16.125  11.125 695.053   0.000   0.000   0.000
   8 2007    3  25.410  12.955   6.903 693.076   0.000   0.000   0.000
   8 2007    4  24.966  16.010   4.222 518.077   0.433   0.000   0.000
   8 2007    5  22.854  17.508   4.896 265.959   0.855   0.000   0.000
   8 2007    6  24.688  19.642   6.237 664.404   0.000   0.000   0.000
   8 2007    7  24.466  18.200   8.252 555.647   0.292   0.000   0.000
   8 2007    8  25.243  17.624   6.137 652.539   0.000   0.000   0.000
   8 2007    9  24.466  18.604   6.712 374.716   0.689   0.000   0.000
   8 2007   10  27.688  20.450   3.073 640.675   0.000   0.000   0.000
   8 2007   11  28.188  22.065   7.578 567.512   0.167   0.113   0.000
   8 2007   12  25.743  16.413   7.195 669.347   0.000   0.000   0.000
   8 2007   13  22.299  13.935   5.471 659.460   0.000   0.000   0.000
   8 2007   14  25.243  18.373   7.486 647.596   0.000   0.035   0.000
   8 2007   15  24.910  17.508   5.280 612.992   0.000   0.000   0.000
   8 2007   16  23.243  11.342   8.344 669.347   0.000   0.000   0.000
   8 2007   17  20.687   8.635   7.195 664.404   0.000   0.000   0.000
   8 2007   18  17.743  11.169   6.812 572.455   0.000   0.000   0.000
   8 2007   19  18.854  14.626  12.474 301.552   0.767   0.000   0.000
   8 2007   20  18.965  15.548  11.800 212.570   0.893   0.009   0.000
   8 2007   21  21.688  19.469   7.386 308.473   0.749   0.052   0.000
   8 2007   22  25.299  18.604   5.471 589.263   0.000   0.009   0.000
   8 2007   23  25.577  20.738   5.754 495.337   0.294   0.000   0.000
   8 2007   24  21.410  14.338   4.030 497.314   0.267   0.000   0.000
   8 2007   25  21.521  13.762   2.590 440.958   0.450   0.000   0.000
   8 2007   26  22.632  14.857   5.471 431.072   0.466   0.000   0.000
   8 2007   27  26.577  21.026   9.110 456.778   0.378   0.148   0.000
   8 2007   28  26.577  21.026   9.110 192.796   0.902   0.148   0.000
   8 2007   29  21.410  13.128   6.903 541.805   0.000   0.000   0.000
   8 2007   30  20.965  11.112   4.797 612.992   0.000   0.000   0.000
   8 2007   31  21.910  13.992   7.486 339.123   0.641   0.000   0.000
   9 2007    1  20.572  16.854   8.095 580.254   0.000   0.000   0.000
   9 2007    2  26.183  17.026  13.282 580.254   0.000   0.000   0.000
   9 2007    3  22.405  12.041   7.366 537.676   0.000   0.000   0.000
   9 2007    4  18.516  14.848  10.482 231.706   0.865   0.000   0.000
   9 2007    5  23.572  18.917  11.310 412.911   0.425   0.008   0.000
   9 2007    6  29.295  22.300  11.517 412.911   0.409   0.000   0.000
   9 2007    7  23.294  17.599  10.689 392.117   0.467   0.284   0.000
   9 2007    8  17.349  12.385   6.430 403.999   0.409   0.000   0.000
   9 2007    9  15.849  10.781   8.195 467.372   0.000   0.008   0.000
   9 2007   10  15.738   8.949   2.909 528.764   0.000   0.000   0.000
   9 2007   11  15.016   7.861  15.876 363.401   0.507   0.024   0.000
   9 2007   12  10.404   4.827   6.123 436.676   0.000   0.000   0.000
   9 2007   13  15.571   9.407  11.824 389.147   0.377   0.000   0.000
   9 2007   14  10.682   2.653  14.417 387.166   0.365   0.000   0.000
   9 2007   15   9.960   0.479   8.303 552.529   0.000   0.000   0.000
   9 2007   16  16.960   6.830   8.402 504.999   0.000   0.000   0.000
   9 2007   17  18.905  14.103   7.573 182.196   0.901   0.000   0.000
   9 2007   18  23.016  20.866   7.366 293.098   0.636   0.387   0.000
   9 2007   19  18.460  15.937   9.960 177.245   0.902   1.185   0.000
   9 2007   20  12.460  10.323   6.745 186.157   0.878   0.000   0.000
   9 2007   21  21.294  18.516  11.103 245.568   0.734   0.498   0.000
   9 2007   22  17.960   9.063  12.139 506.980   0.000   0.213   0.000
   9 2007   23  22.239  13.015   9.545 496.088   0.000   0.000   0.000
   9 2007   24  26.739  20.522  12.346 373.303   0.066   0.205   0.000
   9 2007   25  17.960  15.364  10.689 162.392   0.904   0.190   0.000
   9 2007   26  13.849   8.204   7.780 455.490   0.000   0.000   0.000
   9 2007   27  16.405  11.296   4.773 394.097   0.000   0.024   0.000
   9 2007   28  15.016   9.693   5.601 469.352   0.000   0.016   0.000
   9 2007   29  16.794  11.984  10.581 266.362   0.589   0.000   0.000
   9 2007   30  21.461  16.510  13.589 170.313   0.859   0.198   0.000
  10 2007    1  15.764  12.505   6.727 219.763   0.744   0.000   0.000
  10 2007    2  16.597  14.775  11.018 263.912   0.571   0.203   0.000
  10 2007    3  16.486   9.725  13.112 449.337   0.000   0.685   0.000
  10 2007    4  19.653   8.591  10.444 420.885   0.000   0.000   0.000
  10 2007    5  14.542   8.988  14.502 150.106   0.916   0.000   0.000
  10 2007    6  12.208  11.314  17.282 140.295   0.936   0.145   0.000
  10 2007    7  16.153  15.229   8.822 140.295   0.930   0.386   0.000
  10 2007    8  17.375  16.308  11.723 140.295   0.924   1.080   0.000
  10 2007    9   8.486   5.925  17.403 126.560   0.956   0.531   0.000
  10 2007   10   7.541   4.110  16.124 177.576   0.793   0.058   0.000
  10 2007   11   6.985   3.373   7.654 226.630   0.584   0.000   0.000
  10 2007   12   6.263   2.013   3.132 301.193   0.000   0.000   0.000
  10 2007   13   7.652   2.863   2.206 320.815   0.000   0.000   0.000
  10 2007   14   8.263   3.713   5.801 388.509   0.000   0.000   0.000
  10 2007   15   9.486   5.074  13.918 324.739   0.000   0.000   0.000
  10 2007   16   9.597   7.683  20.535 128.522   0.906   0.164   0.000
  10 2007   17  11.597  10.463   8.822 123.617   0.915   0.386   0.000
  10 2007   18  13.875  12.335  16.013 135.390   0.866   0.859   0.000
  10 2007   19  13.375  11.711  13.576 147.163   0.813   2.132   0.000
