  M  YR    DAY   TEMP     DEW      WIND   RAD      CC     RAIN    SNOW
   4 2007    1   2.167   1.778  16.590 129.000   1.000   0.560   0.000
   4 2007    2   1.611  -0.778  13.250 129.000   1.000   0.000   0.015
   4 2007    3  -1.111  -3.056  12.330 329.000   0.628   0.000   0.015
   4 2007    4  -7.890 -11.890  18.090 329.000   0.639   0.000   0.173
   4 2007    5  -8.890 -17.335  15.670 441.000   0.203   0.000   0.000
   4 2007    6  -9.501 -19.113  15.320 443.000   0.226   0.000   0.000
   4 2007    7  -7.778 -15.668  16.130 324.000   0.680   0.000   0.000
   4 2007    8  -5.334 -17.112   8.640 458.000   0.185   0.000   0.000
   4 2007    9  -5.334 -15.001   3.690 462.000   0.193   0.000   0.000
   4 2007   10  -2.778 -10.945  11.170 431.000   0.390   0.000   0.000
   4 2007   11  -1.333  -6.223  19.700 293.000   0.778   0.000   0.000
   4 2007   12   0.500  -8.612  11.870 462.000   0.288   0.000   0.000
   4 2007   13   3.000  -9.112   8.060 458.000   0.331   0.000   0.000
   4 2007   14   4.667  -5.112   5.760 422.000   0.484   0.000   0.000
   4 2007   15   5.000  -4.445   7.490 486.000   0.227   0.000   0.000
   4 2007   16   7.890  -4.667   7.950 489.000   0.237   0.000   0.000
   4 2007   17   7.556   1.000  11.060 491.000   0.253   0.050   0.000
   4 2007   18   5.278  -1.333  11.750 498.000   0.237   0.000   0.000
   4 2007   19   6.389  -0.889  12.670 493.000   0.290   0.000   0.000
   4 2007   20   8.890   0.000  10.250 496.000   0.296   0.000   0.000
   4 2007   21   8.501   3.389   9.330 253.000   0.897   0.140   0.000
   4 2007   22  13.223   8.223   7.490 298.000   0.825   0.000   0.000
   4 2007   23  10.056   5.112  10.480 503.000   0.322   1.130   0.000
   4 2007   24   9.279  -4.389   5.760 531.000   0.191   0.000   0.000
   4 2007   25   7.667  -4.611   7.370 539.000   0.161   0.000   0.000
   4 2007   26   7.334  -6.834   7.260 543.000   0.163   0.000   0.000
   4 2007   27   8.945  -4.889   6.340 546.000   0.173   0.000   0.000
   4 2007   28  14.168   1.445   9.560 534.000   0.272   0.000   0.000
   4 2007   29  18.335   1.000  14.860 555.000   0.167   0.000   0.000
   4 2007   30  12.445  -0.722   7.830 510.000   0.400   0.000   0.000
   5 2007    1   8.056   1.056  11.870 496.000   0.455   0.010   0.000
   5 2007    2   8.112   1.833  10.830 303.000   0.855   0.000   0.000
   5 2007    3  11.723   2.222  15.320 567.000   0.196   0.000   0.000
   5 2007    4  10.279  -1.111  15.440 384.000   0.727   0.000   0.000
   5 2007    5   8.167   1.722  14.170 267.000   0.917   0.250   0.000
   5 2007    6  11.445  -1.778  16.010 517.000   0.444   0.020   0.000
   5 2007    7  14.390   5.000  12.100 200.000   1.000   0.000   0.000
   5 2007    8  17.057   8.167   6.910 591.000   0.158   0.000   0.000
   5 2007    9  20.502   6.278   7.140 591.000   0.185   0.000   0.000
   5 2007   10  21.613   6.000   9.790 589.000   0.219   0.000   0.000
   5 2007   11  11.168   0.000  12.330 548.000   0.400   0.000   0.000
   5 2007   12   9.556  -3.723  10.140 555.000   0.387   0.000   0.000
   5 2007   13  11.223   1.056  11.640 548.000   0.418   0.000   0.000
   5 2007   14  12.557   8.501  10.710 541.000   0.446   0.050   0.000
   5 2007   15  12.223   8.723  12.330 327.000   0.856   0.070   0.000
   5 2007   16   6.223   3.723   5.640 327.000   0.858   0.080   0.000
   5 2007   17  10.390   2.945   6.570 632.000   0.000   0.180   0.000
   5 2007   18  16.057   1.889  14.630 617.000   0.204   0.000   0.000
   5 2007   19  12.501   8.001  11.170 272.000   0.938   0.380   0.000
   5 2007   20   1.056  -1.500  19.120 200.000   1.000   0.000   0.000
   5 2007   21   5.389   1.889  15.090 496.000   0.592   0.730   0.000
   5 2007   22  11.668   8.390  12.330 591.000   0.360   0.030   0.000
   5 2007   23  17.946  14.723  11.400 334.000   0.863   0.350   0.000
