 Temperature
 Error = (SIMulated - MEAsured) and |  | means absoluate error
 Month  Day  Year  JDay  No.Depth DepthEmax   Error_max  DepthEmin   Error_min  |Error|mean     Sim_SD
    5    20  2008   141    21       0.000      -3.368      24.000      -1.648       2.817        3.966
    5    21  2008   142    20       0.000      -2.252      16.000      -0.002       1.393        3.960
    6    12  2008   164     2       0.600      -2.671       4.270      -2.371       2.521        4.010
    6    19  2008   171    29       0.000      -2.246      42.000      -0.014       0.836        4.031
    7    14  2008   196     2       4.270      -2.459       0.600      -2.310       2.384        4.097
    7    24  2008   206    31       8.000      -2.564      14.000      -0.091       1.275        4.112
    8     7  2008   220    31       6.000      -2.353      44.000      -0.035       1.125        4.105
    9    23  2008   267    30      20.000       3.009      46.000       0.777       1.923        4.007
   10     6  2008   280    29      22.000       3.375      16.000      -0.815       2.110        3.970
