         DAY   Atenua         SD(fld)         SD(sim)       Chl-a (sim)
         141  0.3700000       3.000000       3.965862      4.6979808E-03
         142  0.3700000       4.500000       3.959757      4.7337520E-03
         164  0.3700000       4.270000       4.009658      4.4446001E-03
         171  0.3700000       4.900000       4.030920      4.3235733E-03
         196  0.3700000       3.510000       4.096842      3.9563202E-03
         206  0.3700000       2.750000       4.112126      3.8728532E-03
         220  0.3700000       2.200000       4.105489      3.9090221E-03
         267  0.3700000       3.100000       4.006677      4.4616731E-03
         280  0.3700000       4.900000       3.969944      4.6741334E-03
