 _________________________________________________________________
   T/DO Year Month Day     JDAY  
      1 2008   5  20       141
  I     Z(I)  T2(I)     Density   N^2     AMK
  18   5.25   5.21  999.988  0.000075  1.538969
  19   7.00   5.11  999.989  0.000075  1.538969
  20   9.00   5.06  999.990  0.000075  1.538969
  21  11.25   5.04  999.991  0.000075  1.538969
  22  14.00   5.03  999.991  0.000075  1.538969
  23  17.00   5.03  999.991  0.000075  1.538969
  24  20.00   5.02  999.991  0.000075  1.538969
  25  23.00   5.02  999.991  0.000075  1.538969
  26  26.25   5.03  999.991  0.000075  1.538969
  27  29.00   5.03  999.991  0.000075  1.538969
  28  31.00   5.03  999.991  0.000075  1.538969
  29  33.00   5.03  999.991  0.000075  1.538969
  30  35.00   5.03  999.991  0.000075  1.538969
  31  37.00   5.02  999.991  0.000075  1.538969
  32  39.00   5.02  999.991  0.000075  1.538969
  33  41.00   5.02  999.991  0.000075  1.538969
  34  43.00   5.02  999.991  0.000075  1.538969
  35  45.00   5.02  999.991  0.000075  1.538969
  36  47.00   5.02  999.991  0.000075  1.538969
 I  HMK  
  2   1.539
  3   1.539
  4   1.539
  5   1.539
  6   1.539
  7   1.539
  8   1.539
  9   1.539
 10   1.539
 11   1.539
 12   1.539
 13   1.539
 14   1.539
 15   1.539
 16   1.539
 17   1.539
 18   1.539
 19   1.539
 20   1.539
 21   1.539
 22   1.539
 23   1.539
 24   1.539
 25   1.539
 26   1.539
 27   1.539
 28   1.539
 29   1.539
 30   1.539
 31   1.539
 32   1.539
 33   1.539
 34   1.539
 35   1.539
 36   1.539
 37   1.539
   T/DO Year Month Day     JDAY  
      6 2008   5  20       141
  I     Z(I)  T2(I)     Density   N^2     AMK
  32  39.00   5.02  999.991  0.000075  1.538969
  33  41.00   5.02  999.991  0.000075  1.538969
  34  43.00   5.02  999.991  0.000075  1.538969
  35  45.00   5.02  999.991  0.000075  1.538969
  36  47.00   5.02  999.991  0.000075  1.538969
 I  HMK  
  2  22.255
  3  22.255
  4  22.255
  5  22.255
  6  22.255
  7  22.255
  8  22.255
  9  22.255
 10  22.255
 11  22.255
 12  22.255
 13  22.255
 14  22.255
 15  22.255
 16  22.255
 17  22.255
 18  22.255
 19  22.255
 20  22.255
 21  22.255
 22  22.255
 23  22.255
 24  22.255
 25  22.255
 26  22.255
 27  22.255
 28  22.255
 29  22.255
 30  22.255
 31  22.255
 32   2.879
 33   1.539
 34   1.539
 35   1.539
 36   1.539
 37   1.539
 _________________________________________________________________
   T/DO Year Month Day     JDAY  
      1 2008   5  21       142
  I     Z(I)  T2(I)     Density   N^2     AMK
  32  39.00   5.02  999.991  0.000075  1.538969
  33  41.00   5.02  999.991  0.000075  1.538969
  34  43.00   5.02  999.991  0.000075  1.538969
  35  45.00   5.02  999.991  0.000075  1.538969
  36  47.00   5.02  999.991  0.000075  1.538969
 I  HMK  
  2   1.539
  3   1.539
  4   1.539
  5   1.539
  6   1.539
  7   1.539
  8   1.539
  9   1.539
 10   1.539
 11   1.539
 12   1.539
 13   1.539
 14   1.539
 15   1.539
 16   1.539
 17   1.539
 18   1.539
 19   1.539
 20   1.539
